TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,869,2912,0.11,2025-05-28 10:39:08
2,964,2882,0.22,2025-05-28 10:39:08
3,991,3062,0.29,2025-05-28 10:39:08
4,913,2862,0.22,2025-05-28 10:39:08
5,948,2859,0.13,2025-05-28 10:39:08
6,858,2940,0.22,2025-05-28 10:39:08
7,801,2908,0.22,2025-05-28 10:39:08
8,877,2835,0.25,2025-05-28 10:39:08
9,967,3195,0.24,2025-05-28 10:39:08
10,1020,3124,0.27,2025-05-28 10:39:08
11,1115,3019,0.21,2025-05-28 10:39:08
12,1107,3136,0.26,2025-05-28 10:39:08
13,963,3034,0.19,2025-05-28 10:39:08
14,953,2865,0.13,2025-05-28 10:39:08
15,1193,2971,0.27,2025-05-28 10:39:08
16,1115,2937,0.25,2025-05-28 10:39:08
17,980,3016,0.26,2025-05-28 10:39:08
18,861,3159,0.22,2025-05-28 10:39:08
19,1167,2851,0.29,2025-05-28 10:39:08
20,925,3061,0.23,2025-05-28 10:39:08
21,1167,3007,0.26,2025-05-28 10:39:08
22,844,3119,0.2,2025-05-28 10:39:08
23,915,3065,0.24,2025-05-28 10:39:08
24,984,2900,0.15,2025-05-28 10:39:08
25,988,3042,0.17,2025-05-28 10:39:08
26,926,3112,0.17,2025-05-28 10:39:08
27,979,2882,0.14,2025-05-28 10:39:08
28,1140,3171,0.11,2025-05-28 10:39:08
29,990,3194,0.1,2025-05-28 10:39:08
30,879,2838,0.16,2025-05-28 10:39:08
