TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,907,3135,0.22,2025-05-28 10:39:08
2,853,2892,0.12,2025-05-28 10:39:08
3,1158,3003,0.25,2025-05-28 10:39:08
4,1107,2939,0.19,2025-05-28 10:39:08
5,874,2862,0.2,2025-05-28 10:39:08
6,1172,2961,0.21,2025-05-28 10:39:08
7,997,3002,0.24,2025-05-28 10:39:08
8,953,2994,0.18,2025-05-28 10:39:08
9,832,3200,0.12,2025-05-28 10:39:08
10,1050,2919,0.25,2025-05-28 10:39:08
11,1134,3102,0.11,2025-05-28 10:39:08
12,1061,2939,0.22,2025-05-28 10:39:08
13,1152,3045,0.19,2025-05-28 10:39:08
14,1116,2979,0.13,2025-05-28 10:39:08
15,886,3002,0.21,2025-05-28 10:39:08
16,1172,2920,0.13,2025-05-28 10:39:08
17,967,2837,0.11,2025-05-28 10:39:08
18,1164,2921,0.17,2025-05-28 10:39:08
19,1056,3047,0.15,2025-05-28 10:39:08
20,871,2814,0.26,2025-05-28 10:39:08
21,916,3084,0.26,2025-05-28 10:39:08
22,890,2907,0.29,2025-05-28 10:39:08
23,847,3107,0.18,2025-05-28 10:39:08
24,1181,3164,0.22,2025-05-28 10:39:08
25,987,3185,0.29,2025-05-28 10:39:08
26,1136,2910,0.18,2025-05-28 10:39:08
27,1186,2841,0.18,2025-05-28 10:39:08
28,883,3124,0.17,2025-05-28 10:39:08
29,1058,2827,0.11,2025-05-28 10:39:08
30,916,2988,0.24,2025-05-28 10:39:08
