TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1002,2839,0.29,2025-05-28 10:39:08
2,1096,3001,0.29,2025-05-28 10:39:08
3,977,3047,0.14,2025-05-28 10:39:08
4,913,3156,0.13,2025-05-28 10:39:08
5,814,2838,0.26,2025-05-28 10:39:08
6,965,3124,0.28,2025-05-28 10:39:08
7,957,3161,0.27,2025-05-28 10:39:08
8,1036,3155,0.17,2025-05-28 10:39:08
9,1110,3153,0.28,2025-05-28 10:39:08
10,847,3023,0.24,2025-05-28 10:39:08
11,1077,2880,0.26,2025-05-28 10:39:08
12,1086,2890,0.16,2025-05-28 10:39:08
13,905,2932,0.22,2025-05-28 10:39:08
14,954,3171,0.11,2025-05-28 10:39:08
15,813,2903,0.17,2025-05-28 10:39:08
16,885,3136,0.24,2025-05-28 10:39:08
17,1146,2935,0.29,2025-05-28 10:39:08
18,833,2818,0.28,2025-05-28 10:39:08
19,1148,3190,0.14,2025-05-28 10:39:08
20,1108,3074,0.22,2025-05-28 10:39:08
21,824,3186,0.12,2025-05-28 10:39:08
22,987,2935,0.26,2025-05-28 10:39:08
23,859,2934,0.21,2025-05-28 10:39:08
24,818,3062,0.19,2025-05-28 10:39:08
25,847,2966,0.15,2025-05-28 10:39:08
26,905,2850,0.26,2025-05-28 10:39:08
27,867,3080,0.16,2025-05-28 10:39:08
28,1014,3152,0.15,2025-05-28 10:39:08
29,1004,2847,0.25,2025-05-28 10:39:08
30,1123,2821,0.21,2025-05-28 10:39:08
