TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1122,3102,0.19,2025-05-28 10:39:08
2,1184,2933,0.18,2025-05-28 10:39:08
3,1167,3191,0.24,2025-05-28 10:39:08
4,888,3078,0.17,2025-05-28 10:39:08
5,1092,2852,0.17,2025-05-28 10:39:08
6,925,3063,0.17,2025-05-28 10:39:08
7,840,2822,0.13,2025-05-28 10:39:08
8,1133,3127,0.22,2025-05-28 10:39:08
9,1159,3089,0.13,2025-05-28 10:39:08
10,1072,2860,0.15,2025-05-28 10:39:08
11,971,3132,0.16,2025-05-28 10:39:08
12,988,3085,0.25,2025-05-28 10:39:08
13,873,3036,0.18,2025-05-28 10:39:08
14,1059,2865,0.2,2025-05-28 10:39:08
15,1133,3143,0.3,2025-05-28 10:39:08
16,913,3168,0.21,2025-05-28 10:39:08
17,947,2984,0.13,2025-05-28 10:39:08
18,1044,3056,0.21,2025-05-28 10:39:08
19,1118,3185,0.24,2025-05-28 10:39:08
20,829,2839,0.13,2025-05-28 10:39:08
21,968,3086,0.22,2025-05-28 10:39:08
22,911,2810,0.16,2025-05-28 10:39:08
23,904,2959,0.29,2025-05-28 10:39:08
24,1115,2892,0.13,2025-05-28 10:39:08
25,999,2974,0.14,2025-05-28 10:39:08
26,1164,2952,0.23,2025-05-28 10:39:08
27,849,2987,0.27,2025-05-28 10:39:08
28,987,2941,0.12,2025-05-28 10:39:08
29,1080,2903,0.26,2025-05-28 10:39:08
30,861,2836,0.12,2025-05-28 10:39:08
