TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,975,3109,0.16,2025-05-28 10:39:08
2,1173,2821,0.27,2025-05-28 10:39:08
3,899,3134,0.2,2025-05-28 10:39:08
4,946,2818,0.12,2025-05-28 10:39:08
5,1083,2977,0.12,2025-05-28 10:39:08
6,1156,3100,0.25,2025-05-28 10:39:08
7,947,3036,0.23,2025-05-28 10:39:08
8,883,3159,0.18,2025-05-28 10:39:08
9,1096,2805,0.26,2025-05-28 10:39:08
10,1141,3155,0.17,2025-05-28 10:39:08
11,1033,2844,0.23,2025-05-28 10:39:08
12,1164,3199,0.28,2025-05-28 10:39:08
13,1150,3106,0.25,2025-05-28 10:39:08
14,1011,2969,0.28,2025-05-28 10:39:08
15,951,3055,0.26,2025-05-28 10:39:08
16,931,2881,0.16,2025-05-28 10:39:08
17,833,3115,0.17,2025-05-28 10:39:08
18,974,2819,0.23,2025-05-28 10:39:08
19,874,2800,0.15,2025-05-28 10:39:08
20,1185,3107,0.14,2025-05-28 10:39:08
21,1017,2889,0.19,2025-05-28 10:39:08
22,1143,3193,0.16,2025-05-28 10:39:08
23,1048,3065,0.17,2025-05-28 10:39:08
24,1186,3097,0.13,2025-05-28 10:39:08
25,806,2994,0.22,2025-05-28 10:39:08
26,995,3165,0.16,2025-05-28 10:39:08
27,833,2823,0.21,2025-05-28 10:39:08
28,1001,2837,0.22,2025-05-28 10:39:08
29,1154,2967,0.14,2025-05-28 10:39:08
30,1088,3091,0.17,2025-05-28 10:39:08
