TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1124,2833,0.25,2025-05-28 10:39:08
2,909,3086,0.3,2025-05-28 10:39:08
3,983,3011,0.23,2025-05-28 10:39:08
4,1061,3142,0.1,2025-05-28 10:39:08
5,1118,3055,0.16,2025-05-28 10:39:08
6,1068,3098,0.2,2025-05-28 10:39:08
7,1044,3135,0.12,2025-05-28 10:39:08
8,892,3049,0.15,2025-05-28 10:39:08
9,965,3165,0.15,2025-05-28 10:39:08
10,957,2928,0.25,2025-05-28 10:39:08
11,1169,2820,0.11,2025-05-28 10:39:08
12,1048,2870,0.11,2025-05-28 10:39:08
13,934,2861,0.28,2025-05-28 10:39:08
14,862,3165,0.26,2025-05-28 10:39:08
15,900,2929,0.29,2025-05-28 10:39:08
16,946,3107,0.23,2025-05-28 10:39:08
17,1029,2868,0.27,2025-05-28 10:39:08
18,1155,2979,0.14,2025-05-28 10:39:08
19,1199,3116,0.22,2025-05-28 10:39:08
20,1169,2966,0.24,2025-05-28 10:39:08
21,1183,2975,0.24,2025-05-28 10:39:08
22,1012,2968,0.24,2025-05-28 10:39:08
23,943,2912,0.13,2025-05-28 10:39:08
24,1076,3010,0.16,2025-05-28 10:39:08
25,851,2909,0.12,2025-05-28 10:39:08
26,985,3106,0.21,2025-05-28 10:39:08
27,907,3148,0.14,2025-05-28 10:39:08
28,868,2961,0.13,2025-05-28 10:39:08
29,1003,2947,0.1,2025-05-28 10:39:08
30,1058,3142,0.14,2025-05-28 10:39:08
