TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,925,2833,0.1,2025-05-28 10:39:08
2,1166,3162,0.29,2025-05-28 10:39:08
3,972,2936,0.26,2025-05-28 10:39:08
4,849,3025,0.16,2025-05-28 10:39:08
5,1075,3071,0.11,2025-05-28 10:39:08
6,1181,2959,0.14,2025-05-28 10:39:08
7,1028,3175,0.2,2025-05-28 10:39:08
8,848,3139,0.17,2025-05-28 10:39:08
9,1189,2847,0.27,2025-05-28 10:39:08
10,1036,2952,0.14,2025-05-28 10:39:08
11,815,3106,0.16,2025-05-28 10:39:08
12,1147,2937,0.26,2025-05-28 10:39:08
13,1154,3044,0.24,2025-05-28 10:39:08
14,968,2882,0.18,2025-05-28 10:39:08
15,1052,3129,0.2,2025-05-28 10:39:08
16,1116,2929,0.25,2025-05-28 10:39:08
17,935,3196,0.19,2025-05-28 10:39:08
18,1043,2946,0.3,2025-05-28 10:39:08
19,1029,2835,0.16,2025-05-28 10:39:08
20,1148,3158,0.23,2025-05-28 10:39:08
21,1146,3044,0.27,2025-05-28 10:39:08
22,1006,3010,0.25,2025-05-28 10:39:08
23,1109,2879,0.13,2025-05-28 10:39:08
24,1167,2858,0.25,2025-05-28 10:39:08
25,1177,3155,0.16,2025-05-28 10:39:08
26,803,3040,0.28,2025-05-28 10:39:08
27,891,2953,0.25,2025-05-28 10:39:08
28,1182,3086,0.28,2025-05-28 10:39:08
29,1076,2886,0.19,2025-05-28 10:39:08
30,1200,3021,0.15,2025-05-28 10:39:08
