TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1126,2879,0.24,2025-05-28 10:39:08
2,970,2861,0.22,2025-05-28 10:39:08
3,1107,2929,0.15,2025-05-28 10:39:08
4,820,3127,0.17,2025-05-28 10:39:08
5,1143,2804,0.24,2025-05-28 10:39:08
6,886,2959,0.13,2025-05-28 10:39:08
7,972,3017,0.19,2025-05-28 10:39:08
8,957,3148,0.21,2025-05-28 10:39:08
9,921,2853,0.2,2025-05-28 10:39:08
10,949,2904,0.25,2025-05-28 10:39:08
11,1081,2885,0.16,2025-05-28 10:39:08
12,969,2973,0.23,2025-05-28 10:39:08
13,1156,3092,0.2,2025-05-28 10:39:08
14,1103,3011,0.12,2025-05-28 10:39:08
15,1065,3020,0.16,2025-05-28 10:39:08
16,1046,3080,0.18,2025-05-28 10:39:08
17,1118,2881,0.18,2025-05-28 10:39:08
18,1117,3000,0.29,2025-05-28 10:39:08
19,1065,3054,0.17,2025-05-28 10:39:08
20,995,2923,0.2,2025-05-28 10:39:08
21,1053,2981,0.21,2025-05-28 10:39:08
22,1122,3149,0.18,2025-05-28 10:39:08
23,1019,3155,0.28,2025-05-28 10:39:08
24,1102,2806,0.23,2025-05-28 10:39:08
25,1192,2929,0.13,2025-05-28 10:39:08
26,905,2921,0.16,2025-05-28 10:39:08
27,1161,3156,0.1,2025-05-28 10:39:08
28,907,2855,0.15,2025-05-28 10:39:08
29,896,3063,0.25,2025-05-28 10:39:08
30,939,2882,0.21,2025-05-28 10:39:08
