TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1042,2839,0.29,2025-05-28 10:39:08
2,1139,2974,0.28,2025-05-28 10:39:08
3,839,2857,0.27,2025-05-28 10:39:08
4,890,2811,0.18,2025-05-28 10:39:08
5,1071,3010,0.25,2025-05-28 10:39:08
6,835,3048,0.21,2025-05-28 10:39:08
7,917,2843,0.17,2025-05-28 10:39:08
8,957,3002,0.2,2025-05-28 10:39:08
9,1008,2894,0.11,2025-05-28 10:39:08
10,1008,3164,0.27,2025-05-28 10:39:08
11,1102,2960,0.15,2025-05-28 10:39:08
12,1184,2880,0.18,2025-05-28 10:39:08
13,1053,3002,0.2,2025-05-28 10:39:08
14,1028,2871,0.23,2025-05-28 10:39:08
15,1187,3198,0.17,2025-05-28 10:39:08
16,1057,2856,0.27,2025-05-28 10:39:08
17,1100,2997,0.29,2025-05-28 10:39:08
18,982,3080,0.11,2025-05-28 10:39:08
19,1154,2826,0.22,2025-05-28 10:39:08
20,1136,2956,0.14,2025-05-28 10:39:08
21,1177,3032,0.23,2025-05-28 10:39:08
22,1106,3181,0.3,2025-05-28 10:39:08
23,805,3031,0.25,2025-05-28 10:39:08
24,912,3007,0.13,2025-05-28 10:39:08
25,969,3104,0.21,2025-05-28 10:39:08
26,1072,2934,0.26,2025-05-28 10:39:08
27,831,2905,0.1,2025-05-28 10:39:08
28,1076,3103,0.29,2025-05-28 10:39:08
29,913,3023,0.29,2025-05-28 10:39:08
30,1110,2870,0.18,2025-05-28 10:39:08
