TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,866,3159,0.18,2025-05-28 10:39:08
2,830,2906,0.17,2025-05-28 10:39:08
3,1023,2954,0.18,2025-05-28 10:39:08
4,1006,2919,0.1,2025-05-28 10:39:08
5,1174,2905,0.28,2025-05-28 10:39:08
6,887,2844,0.28,2025-05-28 10:39:08
7,1108,2881,0.26,2025-05-28 10:39:08
8,954,2827,0.13,2025-05-28 10:39:08
9,982,3008,0.29,2025-05-28 10:39:08
10,939,2893,0.23,2025-05-28 10:39:08
11,938,3101,0.25,2025-05-28 10:39:08
12,938,3191,0.22,2025-05-28 10:39:08
13,901,3002,0.18,2025-05-28 10:39:08
14,928,3089,0.26,2025-05-28 10:39:08
15,945,3166,0.24,2025-05-28 10:39:08
16,1120,2932,0.18,2025-05-28 10:39:08
17,1093,3110,0.25,2025-05-28 10:39:08
18,939,3102,0.25,2025-05-28 10:39:08
19,815,2936,0.27,2025-05-28 10:39:08
20,1161,3090,0.17,2025-05-28 10:39:08
21,971,3051,0.23,2025-05-28 10:39:08
22,1046,3133,0.16,2025-05-28 10:39:08
23,997,2875,0.2,2025-05-28 10:39:08
24,1172,2850,0.21,2025-05-28 10:39:08
25,1130,3144,0.3,2025-05-28 10:39:08
26,928,3197,0.14,2025-05-28 10:39:08
27,1084,2963,0.28,2025-05-28 10:39:08
28,868,3157,0.11,2025-05-28 10:39:08
29,923,3039,0.19,2025-05-28 10:39:08
30,1073,3070,0.13,2025-05-28 10:39:08
