TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,813,2952,0.25,2025-05-28 10:39:08
2,993,2808,0.18,2025-05-28 10:39:08
3,1177,3096,0.18,2025-05-28 10:39:08
4,1194,3020,0.11,2025-05-28 10:39:08
5,931,3105,0.27,2025-05-28 10:39:08
6,1099,2823,0.27,2025-05-28 10:39:08
7,1066,2891,0.3,2025-05-28 10:39:08
8,1154,2977,0.16,2025-05-28 10:39:08
9,852,3077,0.29,2025-05-28 10:39:08
10,930,2962,0.22,2025-05-28 10:39:08
11,1016,2803,0.17,2025-05-28 10:39:08
12,958,2818,0.15,2025-05-28 10:39:08
13,929,3031,0.29,2025-05-28 10:39:08
14,931,2961,0.11,2025-05-28 10:39:08
15,1176,2976,0.11,2025-05-28 10:39:08
16,1052,2950,0.29,2025-05-28 10:39:08
17,999,2924,0.28,2025-05-28 10:39:08
18,921,3193,0.29,2025-05-28 10:39:08
19,869,3161,0.26,2025-05-28 10:39:08
20,1011,3177,0.27,2025-05-28 10:39:08
21,959,3107,0.15,2025-05-28 10:39:08
22,1200,3149,0.24,2025-05-28 10:39:08
23,874,2950,0.11,2025-05-28 10:39:08
24,1095,2993,0.11,2025-05-28 10:39:08
25,815,3130,0.2,2025-05-28 10:39:08
26,843,2934,0.17,2025-05-28 10:39:08
27,820,3112,0.29,2025-05-28 10:39:08
28,1065,2803,0.18,2025-05-28 10:39:08
29,1031,3095,0.22,2025-05-28 10:39:08
30,818,3134,0.17,2025-05-28 10:39:08
