TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,934,2901,0.18,2025-05-28 10:39:08
2,817,2959,0.12,2025-05-28 10:39:08
3,865,3192,0.23,2025-05-28 10:39:08
4,1137,2943,0.18,2025-05-28 10:39:08
5,1110,3133,0.15,2025-05-28 10:39:08
6,1032,2835,0.28,2025-05-28 10:39:08
7,1183,3186,0.26,2025-05-28 10:39:08
8,1085,2830,0.14,2025-05-28 10:39:08
9,1031,3011,0.13,2025-05-28 10:39:08
10,1115,3120,0.29,2025-05-28 10:39:08
11,1042,2848,0.26,2025-05-28 10:39:08
12,1169,2917,0.24,2025-05-28 10:39:08
13,1035,3140,0.2,2025-05-28 10:39:08
14,1132,2966,0.11,2025-05-28 10:39:08
15,1051,3016,0.29,2025-05-28 10:39:08
16,993,2924,0.2,2025-05-28 10:39:08
17,1063,2995,0.3,2025-05-28 10:39:08
18,977,3175,0.2,2025-05-28 10:39:08
19,924,3073,0.18,2025-05-28 10:39:08
20,1146,3002,0.24,2025-05-28 10:39:08
21,1098,3155,0.17,2025-05-28 10:39:08
22,822,2962,0.27,2025-05-28 10:39:08
23,998,3133,0.21,2025-05-28 10:39:08
24,866,3010,0.27,2025-05-28 10:39:08
25,1188,2865,0.18,2025-05-28 10:39:08
26,959,2860,0.19,2025-05-28 10:39:08
27,1039,2881,0.25,2025-05-28 10:39:08
28,898,2923,0.1,2025-05-28 10:39:08
29,1192,2891,0.29,2025-05-28 10:39:08
30,1177,2864,0.13,2025-05-28 10:39:08
