TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,923,3009,0.13,2025-05-28 10:39:08
2,998,2918,0.15,2025-05-28 10:39:08
3,1074,3031,0.11,2025-05-28 10:39:08
4,1110,2903,0.15,2025-05-28 10:39:08
5,841,3165,0.17,2025-05-28 10:39:08
6,1196,2959,0.15,2025-05-28 10:39:08
7,834,3017,0.27,2025-05-28 10:39:08
8,1199,3030,0.13,2025-05-28 10:39:08
9,1106,2838,0.1,2025-05-28 10:39:08
10,949,2996,0.11,2025-05-28 10:39:08
11,1108,2921,0.24,2025-05-28 10:39:08
12,961,3132,0.19,2025-05-28 10:39:08
13,1140,2813,0.2,2025-05-28 10:39:08
14,1154,3010,0.24,2025-05-28 10:39:08
15,1120,3006,0.26,2025-05-28 10:39:08
16,1024,2920,0.18,2025-05-28 10:39:08
17,1115,2853,0.24,2025-05-28 10:39:08
18,864,3172,0.17,2025-05-28 10:39:08
19,1177,2956,0.21,2025-05-28 10:39:08
20,1067,3055,0.15,2025-05-28 10:39:08
21,969,2891,0.1,2025-05-28 10:39:08
22,1103,3042,0.3,2025-05-28 10:39:08
23,1084,3046,0.14,2025-05-28 10:39:08
24,1097,3153,0.14,2025-05-28 10:39:08
25,984,3008,0.13,2025-05-28 10:39:08
26,848,3125,0.19,2025-05-28 10:39:08
27,1091,2894,0.14,2025-05-28 10:39:08
28,882,3054,0.26,2025-05-28 10:39:08
29,946,2997,0.2,2025-05-28 10:39:08
30,1104,3041,0.13,2025-05-28 10:39:08
