TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1002,2892,0.29,2025-05-28 10:39:08
2,1122,3034,0.27,2025-05-28 10:39:08
3,1185,3040,0.15,2025-05-28 10:39:08
4,836,3161,0.18,2025-05-28 10:39:08
5,1155,3000,0.23,2025-05-28 10:39:08
6,1121,3189,0.27,2025-05-28 10:39:08
7,827,3053,0.11,2025-05-28 10:39:08
8,981,2905,0.28,2025-05-28 10:39:08
9,1061,3034,0.16,2025-05-28 10:39:08
10,950,2996,0.14,2025-05-28 10:39:08
11,941,2867,0.21,2025-05-28 10:39:08
12,1075,3041,0.11,2025-05-28 10:39:08
13,925,3178,0.15,2025-05-28 10:39:08
14,1166,3185,0.28,2025-05-28 10:39:08
15,948,2959,0.3,2025-05-28 10:39:08
16,940,2828,0.21,2025-05-28 10:39:08
17,837,2842,0.3,2025-05-28 10:39:08
18,1103,3179,0.26,2025-05-28 10:39:08
19,1001,3151,0.17,2025-05-28 10:39:08
20,835,3130,0.26,2025-05-28 10:39:08
21,1128,3007,0.11,2025-05-28 10:39:08
22,878,2829,0.15,2025-05-28 10:39:08
23,1144,2931,0.23,2025-05-28 10:39:08
24,945,2999,0.16,2025-05-28 10:39:08
25,973,2927,0.14,2025-05-28 10:39:08
26,901,3113,0.13,2025-05-28 10:39:08
27,1068,3131,0.25,2025-05-28 10:39:08
28,926,2949,0.27,2025-05-28 10:39:08
29,853,2896,0.26,2025-05-28 10:39:08
30,1179,3138,0.16,2025-05-28 10:39:08
