TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,982,2877,0.29,2025-05-28 10:39:08
2,911,3134,0.29,2025-05-28 10:39:08
3,1048,2875,0.23,2025-05-28 10:39:08
4,894,3109,0.21,2025-05-28 10:39:08
5,962,2945,0.13,2025-05-28 10:39:08
6,884,3073,0.11,2025-05-28 10:39:08
7,1042,2927,0.26,2025-05-28 10:39:08
8,1032,3177,0.14,2025-05-28 10:39:08
9,891,2954,0.29,2025-05-28 10:39:08
10,991,2859,0.18,2025-05-28 10:39:08
11,1048,3066,0.3,2025-05-28 10:39:08
12,1127,3009,0.28,2025-05-28 10:39:08
13,1013,3088,0.2,2025-05-28 10:39:08
14,1048,3135,0.26,2025-05-28 10:39:08
15,996,2822,0.14,2025-05-28 10:39:08
16,1186,2862,0.17,2025-05-28 10:39:08
17,1064,2858,0.15,2025-05-28 10:39:08
18,959,3046,0.17,2025-05-28 10:39:08
19,866,3173,0.1,2025-05-28 10:39:08
20,938,3116,0.14,2025-05-28 10:39:08
21,848,3191,0.14,2025-05-28 10:39:08
22,1077,3154,0.27,2025-05-28 10:39:08
23,1060,3193,0.14,2025-05-28 10:39:08
24,841,2927,0.13,2025-05-28 10:39:08
25,922,3098,0.19,2025-05-28 10:39:08
26,1068,2817,0.23,2025-05-28 10:39:08
27,1107,2968,0.12,2025-05-28 10:39:08
28,1134,2938,0.1,2025-05-28 10:39:08
29,1146,3070,0.12,2025-05-28 10:39:08
30,984,2932,0.29,2025-05-28 10:39:08
