TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,924,2943,0.26,2025-05-28 10:39:08
2,968,2965,0.16,2025-05-28 10:39:08
3,997,2929,0.27,2025-05-28 10:39:08
4,921,2962,0.11,2025-05-28 10:39:08
5,893,2955,0.25,2025-05-28 10:39:08
6,1056,3199,0.19,2025-05-28 10:39:08
7,1122,2989,0.17,2025-05-28 10:39:08
8,823,2821,0.25,2025-05-28 10:39:08
9,871,3035,0.16,2025-05-28 10:39:08
10,912,3069,0.11,2025-05-28 10:39:08
11,846,2929,0.14,2025-05-28 10:39:08
12,903,3023,0.19,2025-05-28 10:39:08
13,1163,3173,0.18,2025-05-28 10:39:08
14,1052,3158,0.17,2025-05-28 10:39:08
15,964,2928,0.26,2025-05-28 10:39:08
16,930,3121,0.18,2025-05-28 10:39:08
17,848,2868,0.14,2025-05-28 10:39:08
18,1134,2876,0.29,2025-05-28 10:39:08
19,1049,3152,0.18,2025-05-28 10:39:08
20,854,3015,0.1,2025-05-28 10:39:08
21,1116,2825,0.14,2025-05-28 10:39:08
22,1081,2868,0.21,2025-05-28 10:39:08
23,1127,2812,0.15,2025-05-28 10:39:08
24,1144,3031,0.18,2025-05-28 10:39:08
25,992,2906,0.2,2025-05-28 10:39:08
26,839,2872,0.25,2025-05-28 10:39:08
27,940,2904,0.3,2025-05-28 10:39:08
28,850,2897,0.28,2025-05-28 10:39:08
29,850,3120,0.17,2025-05-28 10:39:08
30,869,3046,0.21,2025-05-28 10:39:08
