TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1034,2910,0.23,2025-05-28 10:39:08
2,971,2880,0.24,2025-05-28 10:39:08
3,913,2819,0.19,2025-05-28 10:39:08
4,976,2805,0.27,2025-05-28 10:39:08
5,804,2808,0.29,2025-05-28 10:39:08
6,919,3105,0.11,2025-05-28 10:39:08
7,1016,3110,0.27,2025-05-28 10:39:08
8,982,2870,0.11,2025-05-28 10:39:08
9,870,2984,0.14,2025-05-28 10:39:08
10,1140,2903,0.26,2025-05-28 10:39:08
11,806,2960,0.1,2025-05-28 10:39:08
12,969,2994,0.23,2025-05-28 10:39:08
13,980,2808,0.27,2025-05-28 10:39:08
14,1163,2926,0.18,2025-05-28 10:39:08
15,971,3091,0.24,2025-05-28 10:39:08
16,892,2923,0.19,2025-05-28 10:39:08
17,1078,3184,0.24,2025-05-28 10:39:08
18,1020,2865,0.19,2025-05-28 10:39:08
19,989,3078,0.2,2025-05-28 10:39:08
20,865,3181,0.28,2025-05-28 10:39:08
21,1108,3185,0.12,2025-05-28 10:39:08
22,1004,3156,0.22,2025-05-28 10:39:08
23,1001,3095,0.16,2025-05-28 10:39:08
24,1090,3153,0.27,2025-05-28 10:39:08
25,1156,2912,0.21,2025-05-28 10:39:08
26,1171,2939,0.28,2025-05-28 10:39:08
27,878,2958,0.15,2025-05-28 10:39:08
28,868,2973,0.15,2025-05-28 10:39:08
29,997,2836,0.14,2025-05-28 10:39:08
30,1059,3140,0.22,2025-05-28 10:39:08
