TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1021,3005,0.15,2025-05-28 10:39:08
2,1052,2994,0.2,2025-05-28 10:39:08
3,1074,2941,0.12,2025-05-28 10:39:08
4,895,3047,0.13,2025-05-28 10:39:08
5,882,2930,0.25,2025-05-28 10:39:08
6,949,2906,0.19,2025-05-28 10:39:08
7,893,3150,0.18,2025-05-28 10:39:08
8,817,2857,0.15,2025-05-28 10:39:08
9,860,2872,0.19,2025-05-28 10:39:08
10,1160,2885,0.13,2025-05-28 10:39:08
11,973,3176,0.19,2025-05-28 10:39:08
12,905,3055,0.18,2025-05-28 10:39:08
13,911,2906,0.29,2025-05-28 10:39:08
14,1200,3064,0.29,2025-05-28 10:39:08
15,1004,2830,0.15,2025-05-28 10:39:08
16,1132,2879,0.18,2025-05-28 10:39:08
17,992,2972,0.17,2025-05-28 10:39:08
18,853,3049,0.24,2025-05-28 10:39:08
19,1028,2856,0.16,2025-05-28 10:39:08
20,805,3139,0.2,2025-05-28 10:39:08
21,1192,3043,0.13,2025-05-28 10:39:08
22,1096,2874,0.17,2025-05-28 10:39:08
23,1018,3079,0.28,2025-05-28 10:39:08
24,1070,2903,0.27,2025-05-28 10:39:08
25,1115,3078,0.26,2025-05-28 10:39:08
26,1144,3105,0.17,2025-05-28 10:39:08
27,1157,2865,0.13,2025-05-28 10:39:08
28,880,3138,0.19,2025-05-28 10:39:08
29,931,2888,0.19,2025-05-28 10:39:08
30,1154,2968,0.13,2025-05-28 10:39:08
