TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,942,2833,0.29,2025-05-28 10:39:08
2,988,2941,0.19,2025-05-28 10:39:08
3,1001,2883,0.2,2025-05-28 10:39:08
4,1071,3114,0.25,2025-05-28 10:39:08
5,913,2810,0.17,2025-05-28 10:39:08
6,810,2918,0.12,2025-05-28 10:39:08
7,943,3111,0.23,2025-05-28 10:39:08
8,1061,2886,0.17,2025-05-28 10:39:08
9,919,2869,0.24,2025-05-28 10:39:08
10,1092,3147,0.18,2025-05-28 10:39:08
11,1132,2959,0.15,2025-05-28 10:39:08
12,1049,2899,0.18,2025-05-28 10:39:08
13,983,3001,0.14,2025-05-28 10:39:08
14,1165,2999,0.27,2025-05-28 10:39:08
15,1062,2934,0.11,2025-05-28 10:39:08
16,921,3185,0.24,2025-05-28 10:39:08
17,1040,3002,0.13,2025-05-28 10:39:08
18,832,2890,0.11,2025-05-28 10:39:08
19,1000,3193,0.18,2025-05-28 10:39:08
20,1041,2923,0.23,2025-05-28 10:39:08
21,1087,2884,0.19,2025-05-28 10:39:08
22,890,2828,0.22,2025-05-28 10:39:08
23,1138,2891,0.2,2025-05-28 10:39:08
24,893,2916,0.22,2025-05-28 10:39:08
25,1045,3153,0.13,2025-05-28 10:39:08
26,1053,3070,0.16,2025-05-28 10:39:08
27,1006,2984,0.18,2025-05-28 10:39:08
28,1083,2960,0.22,2025-05-28 10:39:08
29,861,3143,0.23,2025-05-28 10:39:08
30,1014,3166,0.23,2025-05-28 10:39:08
