TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1133,2906,0.29,2025-05-28 10:39:08
2,931,2921,0.16,2025-05-28 10:39:08
3,1117,3166,0.23,2025-05-28 10:39:08
4,1078,3043,0.28,2025-05-28 10:39:08
5,898,2938,0.11,2025-05-28 10:39:08
6,1019,3020,0.12,2025-05-28 10:39:08
7,978,3135,0.12,2025-05-28 10:39:08
8,1118,2831,0.16,2025-05-28 10:39:08
9,1069,3099,0.21,2025-05-28 10:39:08
10,1006,3030,0.14,2025-05-28 10:39:08
11,871,2870,0.15,2025-05-28 10:39:08
12,1177,2886,0.27,2025-05-28 10:39:08
13,1072,2880,0.13,2025-05-28 10:39:08
14,1183,2877,0.14,2025-05-28 10:39:08
15,848,2967,0.22,2025-05-28 10:39:08
16,1133,2934,0.22,2025-05-28 10:39:08
17,1120,3011,0.24,2025-05-28 10:39:08
18,995,3178,0.24,2025-05-28 10:39:08
19,891,2900,0.25,2025-05-28 10:39:08
20,937,3034,0.11,2025-05-28 10:39:08
21,801,3179,0.2,2025-05-28 10:39:08
22,832,2811,0.1,2025-05-28 10:39:08
23,971,2930,0.28,2025-05-28 10:39:08
24,877,2809,0.14,2025-05-28 10:39:08
25,1075,3077,0.23,2025-05-28 10:39:08
26,1086,3168,0.17,2025-05-28 10:39:08
27,1003,3069,0.11,2025-05-28 10:39:08
28,1024,2958,0.24,2025-05-28 10:39:08
29,1181,3044,0.25,2025-05-28 10:39:08
30,973,3131,0.25,2025-05-28 10:39:08
