TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,800,2879,0.19,2025-05-28 10:39:08
2,1187,2984,0.26,2025-05-28 10:39:08
3,841,2809,0.17,2025-05-28 10:39:08
4,970,2920,0.11,2025-05-28 10:39:08
5,1123,3064,0.17,2025-05-28 10:39:08
6,945,3019,0.29,2025-05-28 10:39:08
7,1141,3179,0.3,2025-05-28 10:39:08
8,915,2856,0.23,2025-05-28 10:39:08
9,1175,2855,0.17,2025-05-28 10:39:08
10,1095,2977,0.14,2025-05-28 10:39:08
11,997,2907,0.24,2025-05-28 10:39:08
12,858,2963,0.26,2025-05-28 10:39:08
13,1045,2953,0.2,2025-05-28 10:39:08
14,844,2975,0.18,2025-05-28 10:39:08
15,933,2954,0.26,2025-05-28 10:39:08
16,877,3179,0.2,2025-05-28 10:39:08
17,809,3109,0.28,2025-05-28 10:39:08
18,1131,2838,0.24,2025-05-28 10:39:08
19,1047,2824,0.26,2025-05-28 10:39:08
20,1118,2843,0.23,2025-05-28 10:39:08
21,1126,2978,0.21,2025-05-28 10:39:08
22,1016,2820,0.16,2025-05-28 10:39:08
23,1161,3142,0.16,2025-05-28 10:39:08
24,1092,2943,0.2,2025-05-28 10:39:08
25,982,3140,0.26,2025-05-28 10:39:08
26,1199,2987,0.3,2025-05-28 10:39:08
27,1027,2988,0.16,2025-05-28 10:39:08
28,883,2894,0.14,2025-05-28 10:39:08
29,1020,3103,0.18,2025-05-28 10:39:08
30,830,3111,0.29,2025-05-28 10:39:08
