TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1136,3052,0.12,2025-05-28 10:39:08
2,972,3008,0.28,2025-05-28 10:39:08
3,1003,2989,0.16,2025-05-28 10:39:08
4,1080,3173,0.29,2025-05-28 10:39:08
5,1044,3180,0.29,2025-05-28 10:39:08
6,1157,3014,0.14,2025-05-28 10:39:08
7,996,2977,0.15,2025-05-28 10:39:08
8,856,2998,0.14,2025-05-28 10:39:08
9,1032,2897,0.19,2025-05-28 10:39:08
10,866,2995,0.22,2025-05-28 10:39:08
11,926,2964,0.26,2025-05-28 10:39:08
12,1045,2840,0.12,2025-05-28 10:39:08
13,1020,2845,0.14,2025-05-28 10:39:08
14,1119,3146,0.11,2025-05-28 10:39:08
15,896,2817,0.21,2025-05-28 10:39:08
16,1132,3138,0.19,2025-05-28 10:39:08
17,837,3172,0.13,2025-05-28 10:39:08
18,1052,3028,0.27,2025-05-28 10:39:08
19,1146,2840,0.2,2025-05-28 10:39:08
20,1105,2942,0.11,2025-05-28 10:39:08
21,1092,2997,0.22,2025-05-28 10:39:08
22,1029,2832,0.12,2025-05-28 10:39:08
23,805,3166,0.23,2025-05-28 10:39:08
24,1088,2860,0.16,2025-05-28 10:39:08
25,809,3002,0.19,2025-05-28 10:39:08
26,872,3042,0.28,2025-05-28 10:39:08
27,1156,3093,0.1,2025-05-28 10:39:08
28,930,3095,0.27,2025-05-28 10:39:08
29,1073,2951,0.2,2025-05-28 10:39:08
30,926,2901,0.13,2025-05-28 10:39:08
