TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,912,2828,0.22,2025-05-28 10:39:08
2,848,3015,0.16,2025-05-28 10:39:08
3,1081,2820,0.17,2025-05-28 10:39:08
4,918,2908,0.2,2025-05-28 10:39:08
5,1012,2962,0.17,2025-05-28 10:39:08
6,1136,3054,0.14,2025-05-28 10:39:08
7,902,2940,0.2,2025-05-28 10:39:08
8,1088,2866,0.11,2025-05-28 10:39:08
9,980,2867,0.26,2025-05-28 10:39:08
10,1035,3108,0.24,2025-05-28 10:39:08
11,1053,2858,0.26,2025-05-28 10:39:08
12,1088,3068,0.26,2025-05-28 10:39:08
13,866,3005,0.23,2025-05-28 10:39:08
14,955,2949,0.22,2025-05-28 10:39:08
15,822,3113,0.18,2025-05-28 10:39:08
16,1120,2827,0.27,2025-05-28 10:39:08
17,1039,2870,0.12,2025-05-28 10:39:08
18,1125,2809,0.28,2025-05-28 10:39:08
19,985,2971,0.23,2025-05-28 10:39:08
20,1055,2920,0.23,2025-05-28 10:39:08
21,1065,2811,0.24,2025-05-28 10:39:08
22,906,3184,0.13,2025-05-28 10:39:08
23,1146,3192,0.25,2025-05-28 10:39:08
24,1049,3148,0.13,2025-05-28 10:39:08
25,914,3101,0.29,2025-05-28 10:39:08
26,913,2910,0.17,2025-05-28 10:39:08
27,968,3014,0.19,2025-05-28 10:39:08
28,1191,2845,0.16,2025-05-28 10:39:08
29,1007,3196,0.15,2025-05-28 10:39:08
30,1163,2991,0.26,2025-05-28 10:39:08
