TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,883,3020,0.19,2025-05-28 10:39:08
2,940,2821,0.27,2025-05-28 10:39:08
3,930,2998,0.25,2025-05-28 10:39:08
4,857,2805,0.12,2025-05-28 10:39:08
5,921,2911,0.23,2025-05-28 10:39:08
6,1043,3031,0.23,2025-05-28 10:39:08
7,1097,2959,0.29,2025-05-28 10:39:08
8,813,2904,0.23,2025-05-28 10:39:08
9,958,3120,0.21,2025-05-28 10:39:08
10,1083,3006,0.23,2025-05-28 10:39:08
11,1019,2907,0.24,2025-05-28 10:39:08
12,1035,3174,0.28,2025-05-28 10:39:08
13,1138,2885,0.17,2025-05-28 10:39:08
14,1030,2945,0.13,2025-05-28 10:39:08
15,861,2837,0.27,2025-05-28 10:39:08
16,1139,3076,0.29,2025-05-28 10:39:08
17,856,3191,0.16,2025-05-28 10:39:08
18,887,2899,0.16,2025-05-28 10:39:08
19,1000,3160,0.13,2025-05-28 10:39:08
20,1024,2920,0.19,2025-05-28 10:39:08
21,841,2970,0.3,2025-05-28 10:39:08
22,1108,2867,0.18,2025-05-28 10:39:08
23,880,2869,0.14,2025-05-28 10:39:08
24,932,2971,0.25,2025-05-28 10:39:08
25,1060,2952,0.18,2025-05-28 10:39:08
26,931,3162,0.28,2025-05-28 10:39:08
27,1182,3000,0.14,2025-05-28 10:39:08
28,854,3013,0.21,2025-05-28 10:39:08
29,925,3005,0.11,2025-05-28 10:39:08
30,1017,2896,0.14,2025-05-28 10:39:08
