TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,834,2898,0.12,2025-05-28 10:39:08
2,874,2835,0.23,2025-05-28 10:39:08
3,886,3075,0.14,2025-05-28 10:39:08
4,887,2922,0.21,2025-05-28 10:39:08
5,981,3039,0.17,2025-05-28 10:39:08
6,1178,2827,0.28,2025-05-28 10:39:08
7,1105,2827,0.23,2025-05-28 10:39:08
8,909,3003,0.14,2025-05-28 10:39:08
9,836,3092,0.13,2025-05-28 10:39:08
10,841,2882,0.19,2025-05-28 10:39:08
11,1086,2974,0.18,2025-05-28 10:39:08
12,969,2965,0.29,2025-05-28 10:39:08
13,1184,3109,0.11,2025-05-28 10:39:08
14,858,3022,0.29,2025-05-28 10:39:08
15,971,2962,0.15,2025-05-28 10:39:08
16,826,3158,0.13,2025-05-28 10:39:08
17,1039,2821,0.19,2025-05-28 10:39:08
18,1096,2861,0.16,2025-05-28 10:39:08
19,1088,2951,0.16,2025-05-28 10:39:08
20,969,2915,0.12,2025-05-28 10:39:08
21,1109,3026,0.25,2025-05-28 10:39:08
22,839,3106,0.15,2025-05-28 10:39:08
23,946,3154,0.28,2025-05-28 10:39:08
24,1196,2938,0.15,2025-05-28 10:39:08
25,889,3080,0.3,2025-05-28 10:39:08
26,848,3113,0.15,2025-05-28 10:39:08
27,833,3057,0.14,2025-05-28 10:39:08
28,925,3195,0.3,2025-05-28 10:39:08
29,935,3045,0.2,2025-05-28 10:39:08
30,1062,3052,0.19,2025-05-28 10:39:08
