TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,817,3056,0.19,2025-05-28 10:39:08
2,1072,3160,0.12,2025-05-28 10:39:08
3,1169,2962,0.29,2025-05-28 10:39:08
4,972,3155,0.2,2025-05-28 10:39:08
5,906,2834,0.27,2025-05-28 10:39:08
6,845,3086,0.25,2025-05-28 10:39:08
7,1049,2929,0.26,2025-05-28 10:39:08
8,1128,2930,0.27,2025-05-28 10:39:08
9,827,3145,0.21,2025-05-28 10:39:08
10,1087,2944,0.25,2025-05-28 10:39:08
11,1016,3001,0.22,2025-05-28 10:39:08
12,805,2991,0.27,2025-05-28 10:39:08
13,1006,2903,0.12,2025-05-28 10:39:08
14,1038,3010,0.28,2025-05-28 10:39:08
15,1167,3044,0.28,2025-05-28 10:39:08
16,944,3129,0.16,2025-05-28 10:39:08
17,1131,3050,0.27,2025-05-28 10:39:08
18,965,2904,0.12,2025-05-28 10:39:08
19,851,2927,0.15,2025-05-28 10:39:08
20,1131,3159,0.13,2025-05-28 10:39:08
21,1018,2980,0.21,2025-05-28 10:39:08
22,803,2991,0.14,2025-05-28 10:39:08
23,963,2844,0.22,2025-05-28 10:39:08
24,876,2978,0.12,2025-05-28 10:39:08
25,1054,3159,0.24,2025-05-28 10:39:08
26,1003,3045,0.11,2025-05-28 10:39:08
27,915,2993,0.13,2025-05-28 10:39:08
28,907,2985,0.28,2025-05-28 10:39:08
29,920,3047,0.14,2025-05-28 10:39:08
30,886,3140,0.12,2025-05-28 10:39:08
