TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,917,2932,0.21,2025-05-28 10:39:08
2,906,3065,0.28,2025-05-28 10:39:08
3,850,3117,0.26,2025-05-28 10:39:08
4,837,3145,0.28,2025-05-28 10:39:08
5,1200,2933,0.13,2025-05-28 10:39:08
6,1111,3197,0.15,2025-05-28 10:39:08
7,974,2829,0.13,2025-05-28 10:39:08
8,826,2864,0.24,2025-05-28 10:39:08
9,1148,3199,0.2,2025-05-28 10:39:08
10,1087,2843,0.19,2025-05-28 10:39:08
11,986,3009,0.26,2025-05-28 10:39:08
12,1198,2824,0.18,2025-05-28 10:39:08
13,1075,2971,0.17,2025-05-28 10:39:08
14,828,2802,0.11,2025-05-28 10:39:08
15,1157,2977,0.26,2025-05-28 10:39:08
16,1126,2954,0.24,2025-05-28 10:39:08
17,1124,2924,0.29,2025-05-28 10:39:08
18,1040,2949,0.28,2025-05-28 10:39:08
19,972,3117,0.22,2025-05-28 10:39:08
20,1154,3132,0.13,2025-05-28 10:39:08
21,1197,2811,0.18,2025-05-28 10:39:08
22,1110,2815,0.18,2025-05-28 10:39:08
23,934,3059,0.24,2025-05-28 10:39:08
24,983,3147,0.13,2025-05-28 10:39:08
25,1138,3108,0.25,2025-05-28 10:39:08
26,1088,3108,0.14,2025-05-28 10:39:08
27,1052,3151,0.2,2025-05-28 10:39:08
28,1194,3195,0.24,2025-05-28 10:39:08
29,945,2868,0.27,2025-05-28 10:39:08
30,1027,3171,0.15,2025-05-28 10:39:08
