TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1062,3106,0.29,2025-05-28 10:39:08
2,1085,3111,0.27,2025-05-28 10:39:08
3,870,3166,0.28,2025-05-28 10:39:08
4,1062,3149,0.15,2025-05-28 10:39:08
5,894,2918,0.2,2025-05-28 10:39:08
6,979,2848,0.2,2025-05-28 10:39:08
7,976,3187,0.11,2025-05-28 10:39:08
8,1046,3103,0.13,2025-05-28 10:39:08
9,1163,3104,0.16,2025-05-28 10:39:08
10,1118,3060,0.27,2025-05-28 10:39:08
11,1045,3012,0.26,2025-05-28 10:39:08
12,1085,3096,0.13,2025-05-28 10:39:08
13,1197,2828,0.22,2025-05-28 10:39:08
14,1083,2865,0.16,2025-05-28 10:39:08
15,1041,2922,0.12,2025-05-28 10:39:08
16,1012,3037,0.27,2025-05-28 10:39:08
17,929,2965,0.17,2025-05-28 10:39:08
18,1024,2917,0.17,2025-05-28 10:39:08
19,1085,3192,0.25,2025-05-28 10:39:08
20,871,2808,0.24,2025-05-28 10:39:08
21,1002,2803,0.25,2025-05-28 10:39:08
22,862,3087,0.21,2025-05-28 10:39:08
23,1061,3161,0.29,2025-05-28 10:39:08
24,933,2803,0.22,2025-05-28 10:39:08
25,999,3047,0.24,2025-05-28 10:39:08
26,850,2869,0.14,2025-05-28 10:39:08
27,1063,3194,0.17,2025-05-28 10:39:08
28,1150,3158,0.25,2025-05-28 10:39:08
29,1134,3034,0.3,2025-05-28 10:39:08
30,987,3072,0.27,2025-05-28 10:39:08
