TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1093,2984,0.19,2025-05-28 10:39:08
2,1068,3043,0.29,2025-05-28 10:39:08
3,827,3070,0.14,2025-05-28 10:39:08
4,1051,3116,0.21,2025-05-28 10:39:08
5,803,2884,0.15,2025-05-28 10:39:08
6,1036,2952,0.22,2025-05-28 10:39:08
7,895,2866,0.22,2025-05-28 10:39:08
8,821,2909,0.23,2025-05-28 10:39:08
9,1070,3009,0.18,2025-05-28 10:39:08
10,918,2832,0.12,2025-05-28 10:39:08
11,899,3066,0.28,2025-05-28 10:39:08
12,1124,3173,0.1,2025-05-28 10:39:08
13,940,3199,0.14,2025-05-28 10:39:08
14,1065,3124,0.12,2025-05-28 10:39:08
15,924,3187,0.21,2025-05-28 10:39:08
16,1185,3128,0.1,2025-05-28 10:39:08
17,1062,2819,0.14,2025-05-28 10:39:08
18,899,3176,0.25,2025-05-28 10:39:08
19,1166,2916,0.24,2025-05-28 10:39:08
20,1127,3063,0.23,2025-05-28 10:39:08
21,898,2875,0.29,2025-05-28 10:39:08
22,1124,3106,0.15,2025-05-28 10:39:08
23,831,2989,0.19,2025-05-28 10:39:08
24,1010,2840,0.1,2025-05-28 10:39:08
25,1118,3184,0.2,2025-05-28 10:39:08
26,803,2986,0.29,2025-05-28 10:39:08
27,1012,2808,0.1,2025-05-28 10:39:08
28,1061,3053,0.21,2025-05-28 10:39:08
29,1136,3156,0.23,2025-05-28 10:39:08
30,1156,3200,0.3,2025-05-28 10:39:08
