TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1007,3094,0.14,2025-05-28 10:39:08
2,933,3069,0.29,2025-05-28 10:39:08
3,1038,3002,0.16,2025-05-28 10:39:08
4,1165,3193,0.21,2025-05-28 10:39:08
5,922,2943,0.13,2025-05-28 10:39:08
6,938,2981,0.12,2025-05-28 10:39:08
7,1140,3160,0.22,2025-05-28 10:39:08
8,914,2853,0.27,2025-05-28 10:39:08
9,966,2819,0.15,2025-05-28 10:39:08
10,864,3007,0.27,2025-05-28 10:39:08
11,1170,2946,0.13,2025-05-28 10:39:08
12,953,2831,0.19,2025-05-28 10:39:08
13,1095,2936,0.28,2025-05-28 10:39:08
14,1027,2819,0.2,2025-05-28 10:39:08
15,911,3119,0.24,2025-05-28 10:39:08
16,957,2825,0.19,2025-05-28 10:39:08
17,1193,3152,0.15,2025-05-28 10:39:08
18,932,3117,0.3,2025-05-28 10:39:08
19,972,3075,0.25,2025-05-28 10:39:08
20,994,3188,0.27,2025-05-28 10:39:08
21,866,2892,0.14,2025-05-28 10:39:08
22,1106,3091,0.23,2025-05-28 10:39:08
23,899,2863,0.15,2025-05-28 10:39:08
24,869,2906,0.14,2025-05-28 10:39:08
25,810,3187,0.26,2025-05-28 10:39:08
26,835,3129,0.12,2025-05-28 10:39:08
27,911,3034,0.27,2025-05-28 10:39:08
28,914,3142,0.12,2025-05-28 10:39:08
29,883,3158,0.2,2025-05-28 10:39:08
30,890,3054,0.11,2025-05-28 10:39:08
