TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,803,2824,0.27,2025-05-28 10:39:08
2,940,3065,0.17,2025-05-28 10:39:08
3,1094,3047,0.14,2025-05-28 10:39:08
4,834,3023,0.21,2025-05-28 10:39:08
5,907,3112,0.26,2025-05-28 10:39:08
6,988,2959,0.13,2025-05-28 10:39:08
7,1117,2891,0.18,2025-05-28 10:39:08
8,1079,2814,0.14,2025-05-28 10:39:08
9,928,3198,0.14,2025-05-28 10:39:08
10,1075,2966,0.16,2025-05-28 10:39:08
11,1050,3082,0.2,2025-05-28 10:39:08
12,1192,3009,0.23,2025-05-28 10:39:08
13,960,3062,0.29,2025-05-28 10:39:08
14,1178,3023,0.2,2025-05-28 10:39:08
15,1034,3055,0.23,2025-05-28 10:39:08
16,949,3183,0.12,2025-05-28 10:39:08
17,1033,2844,0.29,2025-05-28 10:39:08
18,923,3122,0.27,2025-05-28 10:39:08
19,809,2877,0.1,2025-05-28 10:39:08
20,1082,3009,0.26,2025-05-28 10:39:08
21,832,3061,0.21,2025-05-28 10:39:08
22,991,2848,0.11,2025-05-28 10:39:08
23,1096,2903,0.14,2025-05-28 10:39:08
24,1156,2863,0.18,2025-05-28 10:39:08
25,1077,2884,0.13,2025-05-28 10:39:08
26,1078,3043,0.26,2025-05-28 10:39:08
27,862,3115,0.11,2025-05-28 10:39:08
28,1188,2886,0.25,2025-05-28 10:39:08
29,926,2912,0.28,2025-05-28 10:39:08
30,813,3179,0.25,2025-05-28 10:39:08
