TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,925,3089,0.15,2025-05-28 10:39:08
2,816,2817,0.27,2025-05-28 10:39:08
3,1018,2835,0.24,2025-05-28 10:39:08
4,1021,2910,0.22,2025-05-28 10:39:08
5,871,3134,0.14,2025-05-28 10:39:08
6,1065,2810,0.27,2025-05-28 10:39:08
7,1051,2872,0.12,2025-05-28 10:39:08
8,805,3018,0.12,2025-05-28 10:39:08
9,973,2806,0.16,2025-05-28 10:39:08
10,818,2889,0.15,2025-05-28 10:39:08
11,833,3018,0.24,2025-05-28 10:39:08
12,871,3125,0.23,2025-05-28 10:39:08
13,800,3001,0.18,2025-05-28 10:39:08
14,1053,2904,0.2,2025-05-28 10:39:08
15,1063,3019,0.22,2025-05-28 10:39:08
16,904,3091,0.19,2025-05-28 10:39:08
17,1102,3058,0.16,2025-05-28 10:39:08
18,1171,3180,0.23,2025-05-28 10:39:08
19,979,2825,0.16,2025-05-28 10:39:08
20,1035,3046,0.18,2025-05-28 10:39:08
21,1158,3198,0.23,2025-05-28 10:39:08
22,1055,2963,0.19,2025-05-28 10:39:08
23,1100,2957,0.27,2025-05-28 10:39:08
24,1001,2800,0.25,2025-05-28 10:39:08
25,1200,2822,0.27,2025-05-28 10:39:08
26,865,3176,0.2,2025-05-28 10:39:08
27,1147,2838,0.14,2025-05-28 10:39:08
28,868,3151,0.21,2025-05-28 10:39:08
29,999,3144,0.21,2025-05-28 10:39:08
30,1127,2924,0.23,2025-05-28 10:39:08
