TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1185,2964,0.18,2025-05-28 10:39:08
2,1135,2828,0.11,2025-05-28 10:39:08
3,947,3165,0.11,2025-05-28 10:39:08
4,1168,3088,0.13,2025-05-28 10:39:08
5,1112,2850,0.2,2025-05-28 10:39:08
6,1184,2877,0.12,2025-05-28 10:39:08
7,850,3056,0.16,2025-05-28 10:39:08
8,861,3015,0.13,2025-05-28 10:39:08
9,838,3080,0.16,2025-05-28 10:39:08
10,1188,3110,0.3,2025-05-28 10:39:08
11,1069,3058,0.29,2025-05-28 10:39:08
12,1016,2890,0.23,2025-05-28 10:39:08
13,804,2853,0.21,2025-05-28 10:39:08
14,1001,3173,0.11,2025-05-28 10:39:08
15,1082,2924,0.19,2025-05-28 10:39:08
16,1095,2973,0.14,2025-05-28 10:39:08
17,822,2857,0.25,2025-05-28 10:39:08
18,1121,2874,0.2,2025-05-28 10:39:08
19,962,2919,0.25,2025-05-28 10:39:08
20,1046,2907,0.24,2025-05-28 10:39:08
21,860,2865,0.15,2025-05-28 10:39:08
22,954,3149,0.2,2025-05-28 10:39:08
23,1184,3121,0.26,2025-05-28 10:39:08
24,822,2992,0.21,2025-05-28 10:39:08
25,801,3054,0.24,2025-05-28 10:39:08
26,882,3027,0.29,2025-05-28 10:39:08
27,845,2848,0.19,2025-05-28 10:39:08
28,963,2959,0.14,2025-05-28 10:39:08
29,977,3198,0.1,2025-05-28 10:39:08
30,942,3174,0.17,2025-05-28 10:39:08
