TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,822,3175,0.11,2025-05-28 10:39:08
2,1066,2943,0.26,2025-05-28 10:39:08
3,891,3150,0.17,2025-05-28 10:39:08
4,1144,2943,0.11,2025-05-28 10:39:08
5,866,3116,0.11,2025-05-28 10:39:08
6,909,2854,0.22,2025-05-28 10:39:08
7,1077,2857,0.25,2025-05-28 10:39:08
8,1125,2996,0.26,2025-05-28 10:39:08
9,1027,3153,0.14,2025-05-28 10:39:08
10,891,2823,0.15,2025-05-28 10:39:08
11,1110,2885,0.3,2025-05-28 10:39:08
12,952,2953,0.12,2025-05-28 10:39:08
13,1136,2823,0.15,2025-05-28 10:39:08
14,1178,2896,0.25,2025-05-28 10:39:08
15,992,2865,0.11,2025-05-28 10:39:08
16,806,2927,0.26,2025-05-28 10:39:08
17,1103,3097,0.29,2025-05-28 10:39:08
18,1034,3147,0.12,2025-05-28 10:39:08
19,1116,3050,0.29,2025-05-28 10:39:08
20,1185,2931,0.11,2025-05-28 10:39:08
21,935,2892,0.17,2025-05-28 10:39:08
22,907,3139,0.14,2025-05-28 10:39:08
23,863,2932,0.24,2025-05-28 10:39:08
24,897,2933,0.12,2025-05-28 10:39:08
25,902,3092,0.12,2025-05-28 10:39:08
26,938,2919,0.22,2025-05-28 10:39:08
27,1024,2830,0.29,2025-05-28 10:39:08
28,908,2966,0.28,2025-05-28 10:39:08
29,878,2930,0.12,2025-05-28 10:39:08
30,801,2927,0.17,2025-05-28 10:39:08
