TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,839,3063,0.26,2025-05-28 10:39:08
2,1175,2885,0.11,2025-05-28 10:39:08
3,1156,2845,0.14,2025-05-28 10:39:08
4,902,3009,0.21,2025-05-28 10:39:08
5,826,3132,0.23,2025-05-28 10:39:08
6,1114,3162,0.19,2025-05-28 10:39:08
7,871,2807,0.21,2025-05-28 10:39:08
8,801,2825,0.21,2025-05-28 10:39:08
9,1025,3100,0.16,2025-05-28 10:39:08
10,1176,3108,0.19,2025-05-28 10:39:08
11,1041,3062,0.19,2025-05-28 10:39:08
12,882,3062,0.2,2025-05-28 10:39:08
13,1148,3162,0.17,2025-05-28 10:39:08
14,1065,3085,0.23,2025-05-28 10:39:08
15,916,3001,0.13,2025-05-28 10:39:08
16,958,3058,0.2,2025-05-28 10:39:08
17,1052,3098,0.16,2025-05-28 10:39:08
18,815,2850,0.1,2025-05-28 10:39:08
19,922,3140,0.27,2025-05-28 10:39:08
20,1167,2893,0.16,2025-05-28 10:39:08
21,1123,2937,0.22,2025-05-28 10:39:08
22,1141,2850,0.13,2025-05-28 10:39:08
23,1168,2982,0.12,2025-05-28 10:39:08
24,874,3114,0.11,2025-05-28 10:39:08
25,1115,3138,0.18,2025-05-28 10:39:08
26,993,3016,0.18,2025-05-28 10:39:08
27,1200,3111,0.23,2025-05-28 10:39:08
28,975,3126,0.24,2025-05-28 10:39:08
29,935,3082,0.24,2025-05-28 10:39:08
30,1048,2954,0.28,2025-05-28 10:39:08
