TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1140,3071,0.15,2025-05-28 10:39:08
2,883,2933,0.23,2025-05-28 10:39:08
3,837,3104,0.14,2025-05-28 10:39:08
4,940,2958,0.3,2025-05-28 10:39:08
5,831,2821,0.26,2025-05-28 10:39:08
6,932,2868,0.16,2025-05-28 10:39:08
7,923,3156,0.27,2025-05-28 10:39:08
8,976,3166,0.21,2025-05-28 10:39:08
9,945,2864,0.1,2025-05-28 10:39:08
10,1069,3041,0.3,2025-05-28 10:39:08
11,906,2812,0.21,2025-05-28 10:39:08
12,911,3198,0.21,2025-05-28 10:39:08
13,904,2945,0.15,2025-05-28 10:39:08
14,952,2918,0.12,2025-05-28 10:39:08
15,881,2942,0.14,2025-05-28 10:39:08
16,846,2833,0.11,2025-05-28 10:39:08
17,984,2897,0.21,2025-05-28 10:39:08
18,1140,2916,0.27,2025-05-28 10:39:08
19,809,3185,0.19,2025-05-28 10:39:08
20,944,3105,0.18,2025-05-28 10:39:08
21,978,2895,0.14,2025-05-28 10:39:08
22,1028,2969,0.26,2025-05-28 10:39:08
23,998,2933,0.28,2025-05-28 10:39:08
24,1070,2825,0.23,2025-05-28 10:39:08
25,1106,2999,0.27,2025-05-28 10:39:08
26,1079,3174,0.27,2025-05-28 10:39:08
27,1088,3114,0.18,2025-05-28 10:39:08
28,888,2841,0.24,2025-05-28 10:39:08
29,1180,2895,0.17,2025-05-28 10:39:08
30,1139,3038,0.26,2025-05-28 10:39:08
