TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1124,2819,0.25,2025-05-28 10:39:08
2,834,2966,0.23,2025-05-28 10:39:08
3,1186,3196,0.21,2025-05-28 10:39:08
4,816,2862,0.27,2025-05-28 10:39:08
5,861,2872,0.21,2025-05-28 10:39:08
6,1021,3094,0.29,2025-05-28 10:39:08
7,1095,3010,0.11,2025-05-28 10:39:08
8,1049,3138,0.22,2025-05-28 10:39:08
9,1138,3122,0.14,2025-05-28 10:39:08
10,1015,2879,0.29,2025-05-28 10:39:08
11,817,3053,0.22,2025-05-28 10:39:08
12,855,2807,0.21,2025-05-28 10:39:08
13,980,3086,0.13,2025-05-28 10:39:08
14,808,2894,0.24,2025-05-28 10:39:08
15,1122,3084,0.11,2025-05-28 10:39:08
16,971,3095,0.21,2025-05-28 10:39:08
17,827,2910,0.23,2025-05-28 10:39:08
18,825,2921,0.14,2025-05-28 10:39:08
19,966,3080,0.18,2025-05-28 10:39:08
20,1175,2849,0.27,2025-05-28 10:39:08
21,1014,2953,0.24,2025-05-28 10:39:08
22,1060,2821,0.24,2025-05-28 10:39:08
23,1124,2987,0.23,2025-05-28 10:39:08
24,958,2912,0.16,2025-05-28 10:39:08
25,875,3169,0.28,2025-05-28 10:39:08
26,869,3169,0.21,2025-05-28 10:39:08
27,993,2861,0.28,2025-05-28 10:39:08
28,914,3144,0.22,2025-05-28 10:39:08
29,1113,3070,0.1,2025-05-28 10:39:08
30,846,2875,0.19,2025-05-28 10:39:08
