TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1066,3010,0.19,2025-05-28 10:39:08
2,829,2821,0.15,2025-05-28 10:39:08
3,1096,2890,0.23,2025-05-28 10:39:08
4,849,3138,0.23,2025-05-28 10:39:08
5,1190,3018,0.25,2025-05-28 10:39:08
6,800,2841,0.12,2025-05-28 10:39:08
7,938,2938,0.12,2025-05-28 10:39:08
8,1164,2801,0.28,2025-05-28 10:39:08
9,947,3182,0.13,2025-05-28 10:39:08
10,947,3134,0.16,2025-05-28 10:39:08
11,812,3094,0.28,2025-05-28 10:39:08
12,1193,3056,0.16,2025-05-28 10:39:08
13,1142,3086,0.24,2025-05-28 10:39:08
14,980,2986,0.12,2025-05-28 10:39:08
15,940,2931,0.13,2025-05-28 10:39:08
16,1015,3171,0.12,2025-05-28 10:39:08
17,1117,2930,0.12,2025-05-28 10:39:08
18,1024,2904,0.11,2025-05-28 10:39:08
19,847,3190,0.14,2025-05-28 10:39:08
20,831,3193,0.19,2025-05-28 10:39:08
21,939,3181,0.18,2025-05-28 10:39:08
22,974,2908,0.19,2025-05-28 10:39:08
23,981,3049,0.13,2025-05-28 10:39:08
24,957,2830,0.24,2025-05-28 10:39:08
25,1146,2820,0.16,2025-05-28 10:39:08
26,850,3074,0.22,2025-05-28 10:39:08
27,948,3185,0.18,2025-05-28 10:39:08
28,878,2949,0.11,2025-05-28 10:39:08
29,1174,3057,0.23,2025-05-28 10:39:08
30,1050,2837,0.27,2025-05-28 10:39:08
