TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1192,3014,0.16,2025-05-28 10:39:08
2,824,3109,0.13,2025-05-28 10:39:08
3,945,3128,0.29,2025-05-28 10:39:08
4,1156,2912,0.25,2025-05-28 10:39:08
5,905,2819,0.1,2025-05-28 10:39:08
6,1136,3083,0.21,2025-05-28 10:39:08
7,938,2808,0.27,2025-05-28 10:39:08
8,949,3168,0.12,2025-05-28 10:39:08
9,860,2866,0.12,2025-05-28 10:39:08
10,1147,2943,0.18,2025-05-28 10:39:08
11,1028,3119,0.15,2025-05-28 10:39:08
12,948,3161,0.13,2025-05-28 10:39:08
13,889,2937,0.25,2025-05-28 10:39:08
14,1178,3149,0.13,2025-05-28 10:39:08
15,965,3046,0.16,2025-05-28 10:39:08
16,985,2833,0.13,2025-05-28 10:39:08
17,807,3056,0.2,2025-05-28 10:39:08
18,960,2829,0.22,2025-05-28 10:39:08
19,1071,2835,0.21,2025-05-28 10:39:08
20,1149,2889,0.28,2025-05-28 10:39:08
21,1077,3145,0.25,2025-05-28 10:39:08
22,1193,2805,0.22,2025-05-28 10:39:08
23,1113,3049,0.27,2025-05-28 10:39:08
24,883,2974,0.26,2025-05-28 10:39:08
25,1023,2891,0.18,2025-05-28 10:39:08
26,820,2801,0.18,2025-05-28 10:39:08
27,1024,3145,0.25,2025-05-28 10:39:08
28,812,2964,0.22,2025-05-28 10:39:08
29,1000,3106,0.15,2025-05-28 10:39:08
30,1125,3120,0.23,2025-05-28 10:39:08
