TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,815,3154,0.15,2025-05-28 10:39:08
2,919,3130,0.13,2025-05-28 10:39:08
3,922,2946,0.22,2025-05-28 10:39:08
4,939,2984,0.28,2025-05-28 10:39:08
5,1061,3062,0.2,2025-05-28 10:39:08
6,924,2954,0.24,2025-05-28 10:39:08
7,1011,3025,0.16,2025-05-28 10:39:08
8,1034,3043,0.2,2025-05-28 10:39:08
9,818,3030,0.14,2025-05-28 10:39:08
10,839,2988,0.28,2025-05-28 10:39:08
11,868,2991,0.1,2025-05-28 10:39:08
12,822,2995,0.17,2025-05-28 10:39:08
13,1182,3170,0.24,2025-05-28 10:39:08
14,1112,3109,0.18,2025-05-28 10:39:08
15,1021,2887,0.14,2025-05-28 10:39:08
16,1057,2882,0.11,2025-05-28 10:39:08
17,1033,2996,0.15,2025-05-28 10:39:08
18,957,3181,0.13,2025-05-28 10:39:08
19,841,3199,0.18,2025-05-28 10:39:08
20,1151,2900,0.15,2025-05-28 10:39:08
21,945,2894,0.29,2025-05-28 10:39:08
22,1159,3162,0.22,2025-05-28 10:39:08
23,988,2956,0.27,2025-05-28 10:39:08
24,1178,2915,0.21,2025-05-28 10:39:08
25,844,2990,0.29,2025-05-28 10:39:08
26,1102,3022,0.14,2025-05-28 10:39:08
27,896,3110,0.27,2025-05-28 10:39:08
28,903,3060,0.1,2025-05-28 10:39:08
29,842,2866,0.26,2025-05-28 10:39:08
30,963,3035,0.12,2025-05-28 10:39:08
