TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,942,3081,0.23,2025-05-28 10:39:08
2,1020,3158,0.18,2025-05-28 10:39:08
3,869,2937,0.12,2025-05-28 10:39:08
4,899,3144,0.28,2025-05-28 10:39:08
5,981,3150,0.3,2025-05-28 10:39:08
6,1048,2967,0.24,2025-05-28 10:39:08
7,880,2886,0.25,2025-05-28 10:39:08
8,982,2919,0.14,2025-05-28 10:39:08
9,945,3196,0.27,2025-05-28 10:39:08
10,1128,3162,0.11,2025-05-28 10:39:08
11,1172,3192,0.24,2025-05-28 10:39:08
12,1098,2851,0.17,2025-05-28 10:39:08
13,860,2881,0.29,2025-05-28 10:39:08
14,961,3026,0.14,2025-05-28 10:39:08
15,1140,3168,0.19,2025-05-28 10:39:08
16,1050,3050,0.27,2025-05-28 10:39:08
17,1074,2984,0.2,2025-05-28 10:39:08
18,971,3006,0.22,2025-05-28 10:39:08
19,1169,3057,0.11,2025-05-28 10:39:08
20,845,3030,0.19,2025-05-28 10:39:08
21,1081,2914,0.28,2025-05-28 10:39:08
22,937,2969,0.12,2025-05-28 10:39:08
23,1033,2856,0.2,2025-05-28 10:39:08
24,840,3149,0.13,2025-05-28 10:39:08
25,973,3117,0.27,2025-05-28 10:39:08
26,1055,3015,0.17,2025-05-28 10:39:08
27,1057,3187,0.22,2025-05-28 10:39:08
28,1190,2989,0.26,2025-05-28 10:39:08
29,931,2828,0.25,2025-05-28 10:39:08
30,1100,2941,0.1,2025-05-28 10:39:08
