TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1076,2813,0.11,2025-05-28 10:39:08
2,1088,2983,0.23,2025-05-28 10:39:08
3,848,2809,0.19,2025-05-28 10:39:08
4,1160,3049,0.21,2025-05-28 10:39:08
5,1054,3151,0.29,2025-05-28 10:39:08
6,1191,2987,0.26,2025-05-28 10:39:08
7,837,3057,0.27,2025-05-28 10:39:08
8,1153,3079,0.27,2025-05-28 10:39:08
9,1086,2809,0.3,2025-05-28 10:39:08
10,1195,3171,0.25,2025-05-28 10:39:08
11,1074,3081,0.16,2025-05-28 10:39:08
12,967,3109,0.21,2025-05-28 10:39:08
13,933,2851,0.12,2025-05-28 10:39:08
14,948,2888,0.19,2025-05-28 10:39:08
15,1020,2943,0.16,2025-05-28 10:39:08
16,930,2984,0.1,2025-05-28 10:39:08
17,967,2918,0.11,2025-05-28 10:39:08
18,1070,3177,0.23,2025-05-28 10:39:08
19,957,2803,0.23,2025-05-28 10:39:08
20,849,3119,0.22,2025-05-28 10:39:08
21,1182,3125,0.17,2025-05-28 10:39:08
22,835,2957,0.13,2025-05-28 10:39:08
23,985,2876,0.21,2025-05-28 10:39:08
24,1043,2842,0.29,2025-05-28 10:39:08
25,1033,3141,0.25,2025-05-28 10:39:08
26,1198,2823,0.28,2025-05-28 10:39:08
27,1019,2907,0.23,2025-05-28 10:39:08
28,1067,2898,0.22,2025-05-28 10:39:08
29,1144,2930,0.19,2025-05-28 10:39:08
30,1044,2867,0.2,2025-05-28 10:39:08
