TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,957,2859,0.17,2025-05-28 10:39:08
2,1042,2803,0.28,2025-05-28 10:39:08
3,831,2812,0.26,2025-05-28 10:39:08
4,1137,2864,0.16,2025-05-28 10:39:08
5,923,2909,0.21,2025-05-28 10:39:08
6,1059,2844,0.21,2025-05-28 10:39:08
7,956,2849,0.1,2025-05-28 10:39:08
8,931,2890,0.13,2025-05-28 10:39:08
9,1174,2800,0.18,2025-05-28 10:39:08
10,1053,2862,0.13,2025-05-28 10:39:08
11,1018,3164,0.16,2025-05-28 10:39:08
12,813,2954,0.27,2025-05-28 10:39:08
13,1112,2872,0.15,2025-05-28 10:39:08
14,940,2911,0.25,2025-05-28 10:39:08
15,1097,2878,0.22,2025-05-28 10:39:08
16,1181,2924,0.21,2025-05-28 10:39:08
17,1076,3024,0.15,2025-05-28 10:39:08
18,955,3026,0.12,2025-05-28 10:39:08
19,945,3052,0.19,2025-05-28 10:39:08
20,1090,3131,0.28,2025-05-28 10:39:08
21,1040,3172,0.16,2025-05-28 10:39:08
22,891,3054,0.16,2025-05-28 10:39:08
23,1185,3016,0.12,2025-05-28 10:39:08
24,988,2815,0.18,2025-05-28 10:39:08
25,988,3138,0.11,2025-05-28 10:39:08
26,1110,2919,0.21,2025-05-28 10:39:08
27,964,3019,0.29,2025-05-28 10:39:08
28,1098,3098,0.11,2025-05-28 10:39:08
29,879,3161,0.13,2025-05-28 10:39:08
30,940,2840,0.16,2025-05-28 10:39:08
