TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,800,2981,0.23,2025-05-28 10:39:08
2,970,3121,0.21,2025-05-28 10:39:08
3,858,2999,0.1,2025-05-28 10:39:08
4,845,3139,0.22,2025-05-28 10:39:08
5,907,2835,0.26,2025-05-28 10:39:08
6,1060,3121,0.1,2025-05-28 10:39:08
7,993,3090,0.28,2025-05-28 10:39:08
8,1180,2892,0.23,2025-05-28 10:39:08
9,1061,2820,0.26,2025-05-28 10:39:08
10,1192,2801,0.24,2025-05-28 10:39:08
11,1048,2895,0.19,2025-05-28 10:39:08
12,820,2942,0.17,2025-05-28 10:39:08
13,1070,3095,0.17,2025-05-28 10:39:08
14,915,3152,0.21,2025-05-28 10:39:08
15,909,3195,0.22,2025-05-28 10:39:08
16,871,3187,0.25,2025-05-28 10:39:08
17,915,3128,0.29,2025-05-28 10:39:08
18,1180,3030,0.28,2025-05-28 10:39:08
19,966,3133,0.22,2025-05-28 10:39:08
20,876,2872,0.16,2025-05-28 10:39:08
21,1200,3188,0.19,2025-05-28 10:39:08
22,1072,2985,0.27,2025-05-28 10:39:08
23,829,2868,0.3,2025-05-28 10:39:08
24,827,2897,0.23,2025-05-28 10:39:08
25,850,3075,0.28,2025-05-28 10:39:08
26,1119,2911,0.18,2025-05-28 10:39:08
27,943,2813,0.23,2025-05-28 10:39:08
28,968,2975,0.26,2025-05-28 10:39:08
29,1183,3150,0.27,2025-05-28 10:39:08
30,871,2829,0.23,2025-05-28 10:39:08
