TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,923,3146,0.19,2025-05-28 10:39:08
2,1196,2848,0.16,2025-05-28 10:39:08
3,998,2869,0.21,2025-05-28 10:39:08
4,851,2874,0.16,2025-05-28 10:39:08
5,947,2850,0.13,2025-05-28 10:39:08
6,844,2887,0.27,2025-05-28 10:39:08
7,1122,3160,0.27,2025-05-28 10:39:08
8,1108,3029,0.12,2025-05-28 10:39:08
9,1081,2947,0.12,2025-05-28 10:39:08
10,869,3061,0.22,2025-05-28 10:39:08
11,913,2970,0.11,2025-05-28 10:39:08
12,958,2811,0.28,2025-05-28 10:39:08
13,1178,3000,0.26,2025-05-28 10:39:08
14,1168,2902,0.23,2025-05-28 10:39:08
15,802,3190,0.23,2025-05-28 10:39:08
16,1138,2882,0.26,2025-05-28 10:39:08
17,1152,3046,0.13,2025-05-28 10:39:08
18,937,3014,0.15,2025-05-28 10:39:08
19,910,3056,0.19,2025-05-28 10:39:08
20,1124,3067,0.12,2025-05-28 10:39:08
21,998,2962,0.14,2025-05-28 10:39:08
22,818,2906,0.25,2025-05-28 10:39:08
23,827,3013,0.26,2025-05-28 10:39:08
24,1139,3096,0.3,2025-05-28 10:39:08
25,1072,3192,0.12,2025-05-28 10:39:08
26,1132,2924,0.2,2025-05-28 10:39:08
27,1072,2829,0.22,2025-05-28 10:39:08
28,898,2933,0.23,2025-05-28 10:39:08
29,1151,3032,0.26,2025-05-28 10:39:08
30,1074,2821,0.12,2025-05-28 10:39:08
