TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,935,3112,0.3,2025-05-28 10:39:08
2,1045,3006,0.26,2025-05-28 10:39:08
3,1186,3123,0.22,2025-05-28 10:39:08
4,879,3120,0.21,2025-05-28 10:39:08
5,1136,3050,0.11,2025-05-28 10:39:08
6,864,2877,0.25,2025-05-28 10:39:08
7,837,2977,0.17,2025-05-28 10:39:08
8,887,3104,0.13,2025-05-28 10:39:08
9,1144,3116,0.1,2025-05-28 10:39:08
10,1144,3110,0.27,2025-05-28 10:39:08
11,1158,3038,0.15,2025-05-28 10:39:08
12,845,3169,0.17,2025-05-28 10:39:08
13,1178,2996,0.17,2025-05-28 10:39:08
14,1102,2919,0.28,2025-05-28 10:39:08
15,1140,3174,0.1,2025-05-28 10:39:08
16,903,3083,0.23,2025-05-28 10:39:08
17,870,2857,0.15,2025-05-28 10:39:08
18,1004,3000,0.1,2025-05-28 10:39:08
19,847,3035,0.24,2025-05-28 10:39:08
20,919,3013,0.29,2025-05-28 10:39:08
21,1054,2844,0.19,2025-05-28 10:39:08
22,1094,3028,0.15,2025-05-28 10:39:08
23,1102,3122,0.17,2025-05-28 10:39:08
24,1060,3035,0.19,2025-05-28 10:39:08
25,835,2941,0.19,2025-05-28 10:39:08
26,811,2968,0.18,2025-05-28 10:39:08
27,846,3037,0.2,2025-05-28 10:39:08
28,1019,2897,0.19,2025-05-28 10:39:08
29,921,3079,0.22,2025-05-28 10:39:08
30,1178,2894,0.17,2025-05-28 10:39:08
