TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,875,3154,0.16,2025-05-28 10:39:08
2,907,3009,0.28,2025-05-28 10:39:08
3,1190,2877,0.11,2025-05-28 10:39:08
4,1097,3152,0.29,2025-05-28 10:39:08
5,896,3125,0.18,2025-05-28 10:39:08
6,1061,2923,0.12,2025-05-28 10:39:08
7,874,3059,0.13,2025-05-28 10:39:08
8,811,2977,0.16,2025-05-28 10:39:08
9,943,2980,0.11,2025-05-28 10:39:08
10,843,2820,0.23,2025-05-28 10:39:08
11,899,3015,0.26,2025-05-28 10:39:08
12,892,2990,0.11,2025-05-28 10:39:08
13,857,3151,0.11,2025-05-28 10:39:08
14,1093,3189,0.23,2025-05-28 10:39:08
15,1139,3181,0.2,2025-05-28 10:39:08
16,858,3178,0.29,2025-05-28 10:39:08
17,888,2813,0.19,2025-05-28 10:39:08
18,865,2978,0.26,2025-05-28 10:39:08
19,941,3096,0.26,2025-05-28 10:39:08
20,1136,2864,0.17,2025-05-28 10:39:08
21,965,3144,0.12,2025-05-28 10:39:08
22,1160,3134,0.29,2025-05-28 10:39:08
23,976,3072,0.11,2025-05-28 10:39:08
24,1145,2999,0.18,2025-05-28 10:39:08
25,961,2810,0.1,2025-05-28 10:39:08
26,1023,2814,0.22,2025-05-28 10:39:08
27,845,2852,0.24,2025-05-28 10:39:08
28,828,2962,0.13,2025-05-28 10:39:08
29,808,2968,0.24,2025-05-28 10:39:08
30,1091,3126,0.15,2025-05-28 10:39:08
