TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1115,2889,0.26,2025-05-28 10:39:09
2,966,2976,0.28,2025-05-28 10:39:09
3,1184,3133,0.27,2025-05-28 10:39:09
4,1043,2924,0.15,2025-05-28 10:39:09
5,922,3011,0.12,2025-05-28 10:39:09
6,1168,2863,0.1,2025-05-28 10:39:09
7,878,2876,0.17,2025-05-28 10:39:09
8,846,2826,0.12,2025-05-28 10:39:09
9,940,3107,0.2,2025-05-28 10:39:09
10,1180,3121,0.21,2025-05-28 10:39:09
11,831,2945,0.27,2025-05-28 10:39:09
12,932,2822,0.25,2025-05-28 10:39:09
13,1176,2947,0.27,2025-05-28 10:39:09
14,1186,2992,0.28,2025-05-28 10:39:09
15,801,3137,0.15,2025-05-28 10:39:09
16,1021,3009,0.25,2025-05-28 10:39:09
17,981,2954,0.26,2025-05-28 10:39:09
18,994,2865,0.25,2025-05-28 10:39:09
19,816,3136,0.2,2025-05-28 10:39:09
20,852,3127,0.12,2025-05-28 10:39:09
21,887,3171,0.13,2025-05-28 10:39:09
22,1169,2827,0.14,2025-05-28 10:39:09
23,809,2915,0.29,2025-05-28 10:39:09
24,1069,3082,0.27,2025-05-28 10:39:09
25,954,3184,0.15,2025-05-28 10:39:09
26,917,3148,0.15,2025-05-28 10:39:09
27,1070,3176,0.1,2025-05-28 10:39:09
28,1175,2802,0.23,2025-05-28 10:39:09
29,853,2966,0.17,2025-05-28 10:39:09
30,845,3109,0.12,2025-05-28 10:39:09
