TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,938,2991,0.25,2025-05-28 10:39:08
2,875,2949,0.27,2025-05-28 10:39:08
3,1028,2823,0.16,2025-05-28 10:39:08
4,914,3138,0.26,2025-05-28 10:39:08
5,1149,2982,0.1,2025-05-28 10:39:08
6,800,3183,0.1,2025-05-28 10:39:08
7,963,3119,0.24,2025-05-28 10:39:08
8,1169,2997,0.29,2025-05-28 10:39:08
9,822,3158,0.14,2025-05-28 10:39:08
10,1076,3186,0.19,2025-05-28 10:39:08
11,1166,3167,0.25,2025-05-28 10:39:08
12,1090,2923,0.12,2025-05-28 10:39:08
13,1195,2801,0.13,2025-05-28 10:39:08
14,1120,3024,0.26,2025-05-28 10:39:08
15,1161,3150,0.18,2025-05-28 10:39:08
16,860,3162,0.18,2025-05-28 10:39:08
17,950,2962,0.26,2025-05-28 10:39:08
18,850,2923,0.19,2025-05-28 10:39:08
19,1119,3136,0.22,2025-05-28 10:39:08
20,853,3160,0.13,2025-05-28 10:39:08
21,1125,2949,0.28,2025-05-28 10:39:08
22,976,3166,0.24,2025-05-28 10:39:08
23,845,2919,0.14,2025-05-28 10:39:08
24,1002,3057,0.14,2025-05-28 10:39:08
25,859,2945,0.17,2025-05-28 10:39:08
26,845,3127,0.23,2025-05-28 10:39:08
27,875,2923,0.18,2025-05-28 10:39:08
28,822,2911,0.28,2025-05-28 10:39:08
29,1200,3025,0.15,2025-05-28 10:39:08
30,946,3010,0.18,2025-05-28 10:39:08
