TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1030,3131,0.26,2025-05-28 10:39:08
2,1125,2864,0.29,2025-05-28 10:39:08
3,936,2993,0.14,2025-05-28 10:39:08
4,1126,3110,0.23,2025-05-28 10:39:08
5,1180,2873,0.22,2025-05-28 10:39:08
6,1028,2939,0.12,2025-05-28 10:39:08
7,1069,2835,0.11,2025-05-28 10:39:08
8,1117,2813,0.17,2025-05-28 10:39:08
9,830,3076,0.15,2025-05-28 10:39:08
10,815,2855,0.16,2025-05-28 10:39:08
11,804,3172,0.15,2025-05-28 10:39:08
12,1187,2896,0.13,2025-05-28 10:39:08
13,919,3033,0.12,2025-05-28 10:39:08
14,873,3192,0.12,2025-05-28 10:39:08
15,876,2828,0.29,2025-05-28 10:39:08
16,867,3125,0.2,2025-05-28 10:39:08
17,1182,3070,0.13,2025-05-28 10:39:08
18,1177,3064,0.29,2025-05-28 10:39:08
19,939,3185,0.2,2025-05-28 10:39:08
20,1039,2903,0.14,2025-05-28 10:39:08
21,1128,3058,0.21,2025-05-28 10:39:08
22,1134,3200,0.21,2025-05-28 10:39:08
23,827,3094,0.23,2025-05-28 10:39:08
24,1174,3066,0.13,2025-05-28 10:39:08
25,1063,2818,0.17,2025-05-28 10:39:08
26,1101,3099,0.28,2025-05-28 10:39:08
27,1048,3136,0.11,2025-05-28 10:39:08
28,1128,3055,0.16,2025-05-28 10:39:08
29,917,3058,0.27,2025-05-28 10:39:08
30,931,3130,0.15,2025-05-28 10:39:08
