TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,926,2886,0.19,2025-05-28 10:39:08
2,964,2811,0.24,2025-05-28 10:39:08
3,1170,3071,0.2,2025-05-28 10:39:08
4,941,2831,0.27,2025-05-28 10:39:08
5,1122,2916,0.18,2025-05-28 10:39:08
6,930,3194,0.14,2025-05-28 10:39:08
7,896,3052,0.15,2025-05-28 10:39:08
8,918,3154,0.14,2025-05-28 10:39:08
9,1107,3036,0.11,2025-05-28 10:39:08
10,1128,3150,0.2,2025-05-28 10:39:08
11,1065,2949,0.29,2025-05-28 10:39:08
12,832,3056,0.1,2025-05-28 10:39:08
13,865,3093,0.27,2025-05-28 10:39:08
14,965,2900,0.25,2025-05-28 10:39:08
15,903,3043,0.17,2025-05-28 10:39:08
16,1021,2899,0.21,2025-05-28 10:39:08
17,836,2848,0.22,2025-05-28 10:39:08
18,1129,3018,0.2,2025-05-28 10:39:08
19,1072,2970,0.19,2025-05-28 10:39:08
20,872,3096,0.14,2025-05-28 10:39:08
21,880,2810,0.11,2025-05-28 10:39:08
22,967,2880,0.24,2025-05-28 10:39:08
23,970,2827,0.25,2025-05-28 10:39:08
24,1200,3039,0.26,2025-05-28 10:39:08
25,827,2947,0.14,2025-05-28 10:39:08
26,1162,2849,0.3,2025-05-28 10:39:08
27,1080,2972,0.17,2025-05-28 10:39:08
28,1091,3172,0.12,2025-05-28 10:39:08
29,1088,2807,0.11,2025-05-28 10:39:08
30,1097,2812,0.15,2025-05-28 10:39:08
