TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1167,2994,0.25,2025-05-28 10:39:08
2,1033,3026,0.29,2025-05-28 10:39:08
3,841,3138,0.25,2025-05-28 10:39:08
4,1048,2829,0.26,2025-05-28 10:39:08
5,896,2980,0.16,2025-05-28 10:39:08
6,919,3071,0.27,2025-05-28 10:39:08
7,1130,2949,0.15,2025-05-28 10:39:08
8,1068,3163,0.1,2025-05-28 10:39:08
9,848,3193,0.24,2025-05-28 10:39:08
10,932,2977,0.15,2025-05-28 10:39:08
11,800,3166,0.13,2025-05-28 10:39:08
12,1012,2998,0.24,2025-05-28 10:39:08
13,1140,3083,0.26,2025-05-28 10:39:08
14,969,2835,0.13,2025-05-28 10:39:08
15,1037,2809,0.14,2025-05-28 10:39:08
16,1050,3088,0.17,2025-05-28 10:39:08
17,1026,2861,0.21,2025-05-28 10:39:08
18,1021,2983,0.21,2025-05-28 10:39:08
19,1174,2844,0.22,2025-05-28 10:39:08
20,1187,3021,0.12,2025-05-28 10:39:08
21,1097,3149,0.17,2025-05-28 10:39:08
22,841,2850,0.18,2025-05-28 10:39:08
23,816,2835,0.13,2025-05-28 10:39:08
24,807,3031,0.15,2025-05-28 10:39:08
25,964,2851,0.22,2025-05-28 10:39:08
26,1036,3176,0.29,2025-05-28 10:39:08
27,906,2903,0.26,2025-05-28 10:39:08
28,1164,3093,0.27,2025-05-28 10:39:08
29,1080,3130,0.14,2025-05-28 10:39:08
30,805,3054,0.14,2025-05-28 10:39:08
