TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,824,3036,0.22,2025-05-28 10:39:08
2,1135,3108,0.23,2025-05-28 10:39:08
3,1027,2856,0.22,2025-05-28 10:39:08
4,917,3076,0.25,2025-05-28 10:39:08
5,953,2823,0.12,2025-05-28 10:39:08
6,974,3159,0.21,2025-05-28 10:39:08
7,815,3164,0.16,2025-05-28 10:39:08
8,1027,3154,0.26,2025-05-28 10:39:08
9,980,2842,0.11,2025-05-28 10:39:08
10,1133,2859,0.22,2025-05-28 10:39:08
11,1167,2941,0.28,2025-05-28 10:39:08
12,977,2921,0.21,2025-05-28 10:39:08
13,1099,2831,0.26,2025-05-28 10:39:08
14,855,2878,0.23,2025-05-28 10:39:08
15,847,3020,0.21,2025-05-28 10:39:08
16,1148,2842,0.18,2025-05-28 10:39:08
17,1061,2986,0.29,2025-05-28 10:39:08
18,985,3144,0.16,2025-05-28 10:39:08
19,917,3143,0.19,2025-05-28 10:39:08
20,1032,2930,0.15,2025-05-28 10:39:08
21,1007,3088,0.15,2025-05-28 10:39:08
22,981,3013,0.11,2025-05-28 10:39:08
23,804,2826,0.13,2025-05-28 10:39:08
24,931,3136,0.27,2025-05-28 10:39:08
25,914,3134,0.13,2025-05-28 10:39:08
26,1137,3026,0.15,2025-05-28 10:39:08
27,1083,3007,0.22,2025-05-28 10:39:08
28,1105,2868,0.27,2025-05-28 10:39:08
29,928,3130,0.14,2025-05-28 10:39:08
30,1040,2834,0.11,2025-05-28 10:39:08
