TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,906,3133,0.28,2025-05-28 10:39:08
2,801,2864,0.17,2025-05-28 10:39:08
3,938,3175,0.29,2025-05-28 10:39:08
4,1120,3126,0.16,2025-05-28 10:39:08
5,1028,3165,0.14,2025-05-28 10:39:08
6,1016,3148,0.15,2025-05-28 10:39:08
7,1107,2859,0.15,2025-05-28 10:39:08
8,928,2872,0.2,2025-05-28 10:39:08
9,888,3033,0.18,2025-05-28 10:39:08
10,1151,3022,0.27,2025-05-28 10:39:08
11,933,2937,0.17,2025-05-28 10:39:08
12,931,2895,0.2,2025-05-28 10:39:08
13,993,2936,0.18,2025-05-28 10:39:08
14,1059,2903,0.11,2025-05-28 10:39:08
15,849,3142,0.29,2025-05-28 10:39:08
16,1154,2802,0.21,2025-05-28 10:39:08
17,1193,2982,0.14,2025-05-28 10:39:08
18,975,2835,0.27,2025-05-28 10:39:08
19,911,3012,0.16,2025-05-28 10:39:08
20,1026,2996,0.29,2025-05-28 10:39:08
21,874,3200,0.14,2025-05-28 10:39:08
22,939,3184,0.11,2025-05-28 10:39:08
23,1131,2850,0.11,2025-05-28 10:39:08
24,1030,2984,0.29,2025-05-28 10:39:08
25,867,3150,0.15,2025-05-28 10:39:08
26,1087,2957,0.14,2025-05-28 10:39:08
27,1126,2880,0.18,2025-05-28 10:39:08
28,998,2808,0.14,2025-05-28 10:39:08
29,1149,3018,0.12,2025-05-28 10:39:08
30,933,2870,0.13,2025-05-28 10:39:08
