TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1053,3081,0.25,2025-05-28 10:39:08
2,939,2916,0.28,2025-05-28 10:39:08
3,1161,3045,0.22,2025-05-28 10:39:08
4,1143,2970,0.18,2025-05-28 10:39:08
5,999,2984,0.22,2025-05-28 10:39:08
6,972,2997,0.17,2025-05-28 10:39:08
7,853,2838,0.19,2025-05-28 10:39:08
8,904,2999,0.25,2025-05-28 10:39:08
9,888,2904,0.26,2025-05-28 10:39:08
10,1115,3129,0.15,2025-05-28 10:39:08
11,883,2856,0.17,2025-05-28 10:39:08
12,1095,3196,0.21,2025-05-28 10:39:08
13,1166,2898,0.15,2025-05-28 10:39:08
14,992,2814,0.27,2025-05-28 10:39:08
15,1127,2944,0.26,2025-05-28 10:39:08
16,1090,2866,0.21,2025-05-28 10:39:08
17,973,2806,0.24,2025-05-28 10:39:08
18,864,2883,0.2,2025-05-28 10:39:08
19,1112,3045,0.29,2025-05-28 10:39:08
20,1058,2810,0.16,2025-05-28 10:39:08
21,883,2958,0.1,2025-05-28 10:39:08
22,1145,2823,0.14,2025-05-28 10:39:08
23,848,3085,0.18,2025-05-28 10:39:08
24,810,2965,0.22,2025-05-28 10:39:08
25,1045,2899,0.18,2025-05-28 10:39:08
26,857,3042,0.22,2025-05-28 10:39:08
27,863,3136,0.28,2025-05-28 10:39:08
28,1187,2971,0.17,2025-05-28 10:39:08
29,987,2997,0.25,2025-05-28 10:39:08
30,803,2859,0.21,2025-05-28 10:39:08
