TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1157,2989,0.12,2025-05-28 10:39:09
2,1194,2977,0.17,2025-05-28 10:39:09
3,1127,2856,0.12,2025-05-28 10:39:09
4,1071,3074,0.22,2025-05-28 10:39:09
5,829,2831,0.25,2025-05-28 10:39:09
6,995,2836,0.28,2025-05-28 10:39:09
7,1149,3039,0.14,2025-05-28 10:39:09
8,803,3185,0.13,2025-05-28 10:39:09
9,1118,3174,0.27,2025-05-28 10:39:09
10,800,2826,0.19,2025-05-28 10:39:09
11,983,3120,0.24,2025-05-28 10:39:09
12,829,2874,0.29,2025-05-28 10:39:09
13,856,3096,0.17,2025-05-28 10:39:09
14,1087,2955,0.21,2025-05-28 10:39:09
15,844,2862,0.19,2025-05-28 10:39:09
16,1145,3035,0.25,2025-05-28 10:39:09
17,1008,3028,0.2,2025-05-28 10:39:09
18,901,3166,0.16,2025-05-28 10:39:09
19,844,2886,0.23,2025-05-28 10:39:09
20,1155,3128,0.17,2025-05-28 10:39:09
21,1038,3070,0.28,2025-05-28 10:39:09
22,1141,2916,0.12,2025-05-28 10:39:09
23,966,2967,0.15,2025-05-28 10:39:09
24,1180,2874,0.17,2025-05-28 10:39:09
25,1166,3167,0.24,2025-05-28 10:39:09
26,844,2920,0.18,2025-05-28 10:39:09
27,858,3099,0.2,2025-05-28 10:39:09
28,954,2880,0.21,2025-05-28 10:39:09
29,1137,3171,0.23,2025-05-28 10:39:09
30,1099,2984,0.15,2025-05-28 10:39:09
