TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1105,2946,0.25,2025-05-28 10:39:09
2,923,2855,0.13,2025-05-28 10:39:09
3,1003,2998,0.21,2025-05-28 10:39:09
4,1053,3169,0.25,2025-05-28 10:39:09
5,922,3173,0.17,2025-05-28 10:39:09
6,1194,3159,0.3,2025-05-28 10:39:09
7,1147,3099,0.28,2025-05-28 10:39:09
8,831,2846,0.16,2025-05-28 10:39:09
9,1189,2900,0.25,2025-05-28 10:39:09
10,811,2994,0.16,2025-05-28 10:39:09
11,821,2963,0.12,2025-05-28 10:39:09
12,1178,3074,0.26,2025-05-28 10:39:09
13,942,3002,0.21,2025-05-28 10:39:09
14,1138,3037,0.16,2025-05-28 10:39:09
15,851,2916,0.19,2025-05-28 10:39:09
16,891,3174,0.12,2025-05-28 10:39:09
17,1086,3063,0.28,2025-05-28 10:39:09
18,1081,2948,0.2,2025-05-28 10:39:09
19,1130,3041,0.21,2025-05-28 10:39:09
20,961,2973,0.12,2025-05-28 10:39:09
21,986,2811,0.21,2025-05-28 10:39:09
22,892,3040,0.27,2025-05-28 10:39:09
23,1087,2800,0.21,2025-05-28 10:39:09
24,999,3136,0.13,2025-05-28 10:39:09
25,1177,2914,0.12,2025-05-28 10:39:09
26,1113,3059,0.12,2025-05-28 10:39:09
27,808,3151,0.13,2025-05-28 10:39:09
28,1129,2849,0.22,2025-05-28 10:39:09
29,1012,2961,0.25,2025-05-28 10:39:09
30,909,3033,0.1,2025-05-28 10:39:09
