TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1063,3130,0.25,2025-05-28 10:39:09
2,1143,3016,0.26,2025-05-28 10:39:09
3,1175,3084,0.27,2025-05-28 10:39:09
4,1153,3141,0.18,2025-05-28 10:39:09
5,1045,2967,0.15,2025-05-28 10:39:09
6,949,2852,0.25,2025-05-28 10:39:09
7,944,2810,0.12,2025-05-28 10:39:09
8,858,3016,0.17,2025-05-28 10:39:09
9,886,3042,0.13,2025-05-28 10:39:09
10,1028,2893,0.17,2025-05-28 10:39:09
11,1199,2922,0.29,2025-05-28 10:39:09
12,1061,3071,0.26,2025-05-28 10:39:09
13,1047,2858,0.15,2025-05-28 10:39:09
14,978,2924,0.3,2025-05-28 10:39:09
15,1024,3200,0.23,2025-05-28 10:39:09
16,1008,3069,0.3,2025-05-28 10:39:09
17,1155,2923,0.18,2025-05-28 10:39:09
18,996,3118,0.16,2025-05-28 10:39:09
19,1133,2982,0.17,2025-05-28 10:39:09
20,851,2933,0.12,2025-05-28 10:39:09
21,1076,2995,0.29,2025-05-28 10:39:09
22,1195,3171,0.12,2025-05-28 10:39:09
23,920,2858,0.21,2025-05-28 10:39:09
24,847,3038,0.25,2025-05-28 10:39:09
25,1113,3063,0.13,2025-05-28 10:39:09
26,863,2840,0.16,2025-05-28 10:39:09
27,894,2882,0.17,2025-05-28 10:39:09
28,960,3048,0.21,2025-05-28 10:39:09
29,1065,2957,0.14,2025-05-28 10:39:09
30,944,3106,0.3,2025-05-28 10:39:09
