TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,951,2986,0.29,2025-05-28 10:39:09
2,1170,2809,0.18,2025-05-28 10:39:09
3,946,3200,0.19,2025-05-28 10:39:09
4,917,3048,0.11,2025-05-28 10:39:09
5,907,2825,0.19,2025-05-28 10:39:09
6,989,2853,0.23,2025-05-28 10:39:09
7,941,3004,0.29,2025-05-28 10:39:09
8,922,3083,0.18,2025-05-28 10:39:09
9,1109,3168,0.15,2025-05-28 10:39:09
10,1078,3194,0.23,2025-05-28 10:39:09
11,979,2854,0.17,2025-05-28 10:39:09
12,1074,3149,0.11,2025-05-28 10:39:09
13,984,3149,0.11,2025-05-28 10:39:09
14,1170,3120,0.15,2025-05-28 10:39:09
15,813,3081,0.12,2025-05-28 10:39:09
16,995,3145,0.21,2025-05-28 10:39:09
17,1107,2912,0.13,2025-05-28 10:39:09
18,863,3111,0.19,2025-05-28 10:39:09
19,953,3076,0.13,2025-05-28 10:39:09
20,940,3033,0.23,2025-05-28 10:39:09
21,917,3117,0.26,2025-05-28 10:39:09
22,1051,3108,0.19,2025-05-28 10:39:09
23,892,2872,0.22,2025-05-28 10:39:09
24,1168,2817,0.2,2025-05-28 10:39:09
25,1112,2954,0.2,2025-05-28 10:39:09
26,1099,3042,0.21,2025-05-28 10:39:09
27,988,3118,0.21,2025-05-28 10:39:09
28,840,2855,0.28,2025-05-28 10:39:09
29,809,2929,0.25,2025-05-28 10:39:09
30,1178,3132,0.12,2025-05-28 10:39:09
