TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,957,2881,0.28,2025-05-28 10:39:08
2,825,2824,0.1,2025-05-28 10:39:08
3,1142,2802,0.13,2025-05-28 10:39:08
4,973,3186,0.2,2025-05-28 10:39:08
5,1121,2932,0.18,2025-05-28 10:39:08
6,808,3114,0.18,2025-05-28 10:39:08
7,1070,2803,0.29,2025-05-28 10:39:08
8,1092,2853,0.18,2025-05-28 10:39:08
9,993,2946,0.28,2025-05-28 10:39:08
10,981,3012,0.16,2025-05-28 10:39:08
11,844,3195,0.19,2025-05-28 10:39:08
12,1065,3161,0.1,2025-05-28 10:39:08
13,982,2862,0.22,2025-05-28 10:39:08
14,863,2833,0.28,2025-05-28 10:39:08
15,1110,3130,0.13,2025-05-28 10:39:08
16,1058,3181,0.23,2025-05-28 10:39:08
17,1143,3128,0.12,2025-05-28 10:39:08
18,800,2965,0.16,2025-05-28 10:39:08
19,1072,3116,0.26,2025-05-28 10:39:08
20,1121,3083,0.14,2025-05-28 10:39:08
21,890,2849,0.13,2025-05-28 10:39:08
22,1117,2882,0.28,2025-05-28 10:39:08
23,1048,3069,0.2,2025-05-28 10:39:08
24,842,3158,0.29,2025-05-28 10:39:08
25,1058,3033,0.22,2025-05-28 10:39:08
26,859,3158,0.24,2025-05-28 10:39:08
27,811,2976,0.25,2025-05-28 10:39:08
28,969,2961,0.27,2025-05-28 10:39:08
29,942,2921,0.29,2025-05-28 10:39:08
30,1083,2860,0.24,2025-05-28 10:39:08
