TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,947,2838,0.12,2025-05-28 10:39:08
2,865,2952,0.16,2025-05-28 10:39:08
3,1020,2969,0.22,2025-05-28 10:39:08
4,1010,3200,0.17,2025-05-28 10:39:08
5,1155,3069,0.12,2025-05-28 10:39:08
6,897,3044,0.23,2025-05-28 10:39:08
7,823,2984,0.21,2025-05-28 10:39:08
8,1135,2969,0.19,2025-05-28 10:39:08
9,1054,2868,0.28,2025-05-28 10:39:08
10,887,3023,0.11,2025-05-28 10:39:08
11,1017,2804,0.12,2025-05-28 10:39:08
12,1086,2822,0.12,2025-05-28 10:39:08
13,878,3169,0.16,2025-05-28 10:39:08
14,1075,3060,0.18,2025-05-28 10:39:08
15,1081,3018,0.27,2025-05-28 10:39:08
16,1088,3200,0.26,2025-05-28 10:39:08
17,934,2981,0.24,2025-05-28 10:39:08
18,1121,2898,0.27,2025-05-28 10:39:08
19,957,2853,0.25,2025-05-28 10:39:08
20,999,3107,0.3,2025-05-28 10:39:08
21,953,2909,0.28,2025-05-28 10:39:08
22,807,3010,0.14,2025-05-28 10:39:08
23,1194,3007,0.26,2025-05-28 10:39:08
24,1092,2955,0.3,2025-05-28 10:39:08
25,1024,2836,0.27,2025-05-28 10:39:08
26,936,2873,0.22,2025-05-28 10:39:08
27,1164,3064,0.19,2025-05-28 10:39:08
28,1107,2883,0.12,2025-05-28 10:39:08
29,1185,2808,0.15,2025-05-28 10:39:08
30,969,3159,0.12,2025-05-28 10:39:08
