TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1025,3091,0.27,2025-05-28 10:39:08
2,970,3195,0.17,2025-05-28 10:39:08
3,1161,3072,0.2,2025-05-28 10:39:08
4,1141,2939,0.26,2025-05-28 10:39:08
5,1058,3074,0.21,2025-05-28 10:39:08
6,927,2843,0.15,2025-05-28 10:39:08
7,1190,2862,0.2,2025-05-28 10:39:08
8,982,2919,0.25,2025-05-28 10:39:08
9,1102,3135,0.19,2025-05-28 10:39:08
10,1099,3179,0.17,2025-05-28 10:39:08
11,945,3041,0.13,2025-05-28 10:39:08
12,1116,3027,0.24,2025-05-28 10:39:08
13,992,3176,0.2,2025-05-28 10:39:08
14,1149,3051,0.27,2025-05-28 10:39:08
15,960,3031,0.2,2025-05-28 10:39:08
16,1055,2936,0.15,2025-05-28 10:39:08
17,1053,2917,0.21,2025-05-28 10:39:08
18,929,2978,0.24,2025-05-28 10:39:08
19,1026,2813,0.29,2025-05-28 10:39:08
20,1035,2970,0.16,2025-05-28 10:39:08
21,1004,2937,0.21,2025-05-28 10:39:08
22,969,3150,0.22,2025-05-28 10:39:08
23,1001,2869,0.16,2025-05-28 10:39:08
24,848,3112,0.17,2025-05-28 10:39:08
25,1063,2933,0.19,2025-05-28 10:39:08
26,818,3144,0.25,2025-05-28 10:39:08
27,1114,3049,0.18,2025-05-28 10:39:08
28,1002,3035,0.21,2025-05-28 10:39:08
29,937,3008,0.21,2025-05-28 10:39:08
30,818,2956,0.28,2025-05-28 10:39:08
