TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1056,2907,0.18,2025-05-28 10:39:08
2,847,3075,0.19,2025-05-28 10:39:08
3,984,2948,0.17,2025-05-28 10:39:08
4,1027,3135,0.25,2025-05-28 10:39:08
5,988,2996,0.22,2025-05-28 10:39:08
6,932,2936,0.11,2025-05-28 10:39:08
7,965,3184,0.2,2025-05-28 10:39:08
8,882,2920,0.22,2025-05-28 10:39:08
9,1156,3166,0.2,2025-05-28 10:39:08
10,1170,2955,0.12,2025-05-28 10:39:08
11,811,2803,0.19,2025-05-28 10:39:08
12,816,3014,0.13,2025-05-28 10:39:08
13,1175,3135,0.15,2025-05-28 10:39:08
14,816,3143,0.27,2025-05-28 10:39:08
15,1030,2986,0.25,2025-05-28 10:39:08
16,891,2830,0.16,2025-05-28 10:39:08
17,851,2845,0.13,2025-05-28 10:39:08
18,1089,2842,0.29,2025-05-28 10:39:08
19,899,3098,0.3,2025-05-28 10:39:08
20,1053,2909,0.12,2025-05-28 10:39:08
21,1174,3024,0.3,2025-05-28 10:39:08
22,1062,3132,0.22,2025-05-28 10:39:08
23,866,3131,0.21,2025-05-28 10:39:08
24,1077,3092,0.18,2025-05-28 10:39:08
25,1115,2869,0.1,2025-05-28 10:39:08
26,878,2884,0.18,2025-05-28 10:39:08
27,1152,2912,0.27,2025-05-28 10:39:08
28,889,3165,0.21,2025-05-28 10:39:08
29,907,2800,0.11,2025-05-28 10:39:08
30,1104,2951,0.16,2025-05-28 10:39:08
