TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,920,2879,0.14,2025-05-28 10:39:08
2,1128,3122,0.15,2025-05-28 10:39:08
3,1160,3096,0.18,2025-05-28 10:39:08
4,929,2878,0.28,2025-05-28 10:39:08
5,1039,3192,0.14,2025-05-28 10:39:08
6,1199,3136,0.15,2025-05-28 10:39:08
7,1144,3062,0.13,2025-05-28 10:39:08
8,988,3190,0.25,2025-05-28 10:39:08
9,946,3099,0.12,2025-05-28 10:39:08
10,817,3034,0.12,2025-05-28 10:39:08
11,880,2939,0.24,2025-05-28 10:39:08
12,1142,3114,0.2,2025-05-28 10:39:08
13,1188,3005,0.19,2025-05-28 10:39:08
14,847,2826,0.2,2025-05-28 10:39:08
15,867,2927,0.14,2025-05-28 10:39:08
16,1145,2904,0.17,2025-05-28 10:39:08
17,988,2930,0.2,2025-05-28 10:39:08
18,822,3083,0.18,2025-05-28 10:39:08
19,956,3052,0.3,2025-05-28 10:39:08
20,955,3156,0.12,2025-05-28 10:39:08
21,890,2812,0.24,2025-05-28 10:39:08
22,963,3129,0.22,2025-05-28 10:39:08
23,943,3174,0.17,2025-05-28 10:39:08
24,1067,3062,0.12,2025-05-28 10:39:08
25,844,3169,0.27,2025-05-28 10:39:08
26,1123,3176,0.29,2025-05-28 10:39:08
27,1155,2853,0.29,2025-05-28 10:39:08
28,1146,2869,0.23,2025-05-28 10:39:08
29,1024,3074,0.23,2025-05-28 10:39:08
30,823,3114,0.25,2025-05-28 10:39:08
